dz_2011,total,married,single
S01006661,699,185,514
S01006662,804,158,646
S01006663,1225,182,1043
S01006664,471,94,377
S01006665,889,161,728
S01006666,1558,414,1144
S01006667,1100,299,801
S01006668,858,118,740
S01006669,1269,229,1040
S01006670,901,124,777
S01006671,2540,234,2306
S01006672,685,151,534
S01006673,841,248,593
S01006674,874,269,605
S01006675,591,195,396
S01006676,713,278,435
S01006677,621,180,441
S01006678,1031,369,662
S01006679,845,361,484
S01006680,767,254,513
S01006681,976,238,738
S01006682,753,257,496
S01006683,1026,362,664
S01006684,749,221,528
S01006685,796,220,576
S01006686,786,285,501
S01006687,853,275,578
S01006688,939,415,524
S01006689,546,261,285
S01006690,707,236,471
S01006691,805,268,537
S01006692,776,335,441
S01006693,1063,351,712
S01006694,979,421,558
S01006695,608,297,311
S01006696,945,359,586
S01006697,970,392,578
S01006698,813,277,536
S01006699,670,352,318
S01006700,1115,521,594
S01006701,813,339,474
S01006702,793,379,414
S01006703,604,260,344
S01006704,655,258,397
S01006705,786,316,470
S01006706,651,254,397
S01006707,543,206,337
S01006708,743,352,391
S01006709,998,471,527
S01006710,917,473,444
S01006711,968,388,580
S01006712,545,303,242
S01006713,798,376,422
S01006714,758,357,401
S01006715,786,312,474
S01006716,496,220,276
S01006717,901,408,493
S01006718,519,247,272
S01006719,811,378,433
S01006720,607,299,308
S01006721,778,354,424
S01006722,692,309,383
S01006723,829,390,439
S01006724,997,341,656
S01006725,770,336,434
S01006726,985,319,666
S01006727,1046,348,698
S01006728,703,285,418
S01006729,753,294,459
S01006730,643,318,325
S01006731,418,185,233
S01006732,1193,634,559
S01006733,651,461,190
S01006734,899,545,354
S01006735,750,523,227
S01006736,945,591,354
S01006737,821,520,301
S01006738,714,202,512
S01006739,529,221,308
S01006740,916,410,506
S01006741,674,348,326
S01006742,388,188,200
S01006743,932,426,506
S01006744,572,246,326
S01006745,901,390,511
S01006746,712,325,387
S01006747,1025,560,465
S01006748,976,587,389
S01006749,1151,553,598
S01006750,711,330,381
S01006751,436,221,215
S01006752,686,354,332
S01006753,779,447,332
S01006754,997,651,346
S01006755,863,475,388
S01006756,830,390,440
S01006757,1149,613,536
S01006758,599,344,255
S01006759,1108,560,548
S01006760,516,258,258
S01006761,826,480,346
S01006762,833,477,356
S01006763,862,460,402
S01006764,665,342,323
S01006765,613,304,309
S01006766,505,283,222
S01006767,764,415,349
S01006768,507,345,162
S01006769,1076,659,417
S01006770,567,382,185
S01006771,455,284,171
S01006772,1061,610,451
S01006773,604,369,235
S01006774,705,454,251
S01006775,663,280,383
S01006776,595,270,325
S01006777,786,551,235
S01006778,757,462,295
S01006779,892,372,520
S01006780,752,333,419
S01006781,863,518,345
S01006782,844,448,396
S01006783,585,350,235
S01006784,635,329,306
S01006785,650,379,271
S01006786,909,556,353
S01006787,829,512,317
S01006788,507,284,223
S01006789,814,409,405
S01006790,837,442,395
S01006791,446,237,209
S01006792,596,358,238
S01006793,535,292,243
S01006794,676,401,275
S01006795,623,380,243
S01006796,616,356,260
S01006797,608,360,248
S01006798,586,381,205
S01006799,866,438,428
S01006800,771,517,254
S01006801,1145,711,434
S01006802,556,279,277
S01006803,641,334,307
S01006804,1003,621,382
S01006805,1081,592,489
S01006806,907,549,358
S01006807,484,301,183
S01006808,793,508,285
S01006809,781,449,332
S01006810,818,472,346
S01006811,841,525,316
S01006812,672,390,282
S01006813,795,424,371
S01006814,872,538,334
S01006815,615,292,323
S01006816,779,459,320
S01006817,675,367,308
S01006818,580,377,203
S01006819,946,628,318
S01006820,530,331,199
S01006821,943,571,372
S01006822,609,373,236
S01006823,730,396,334
S01006824,583,200,383
S01006825,846,458,388
S01006826,1060,647,413
S01006827,856,379,477
S01006828,879,374,505
S01006829,518,307,211
S01006830,546,300,246
S01006831,1057,714,343
S01006832,862,493,369
S01006833,602,373,229
S01006834,264,162,102
S01006835,1125,476,649
S01006836,372,209,163
S01006837,763,443,320
S01006838,784,457,327
S01006839,776,427,349
S01006840,964,637,327
S01006841,1081,605,476
S01006842,831,503,328
S01006843,783,472,311
S01006844,587,268,319
S01006845,859,450,409
S01006846,762,405,357
S01006847,668,382,286
S01006848,1053,613,440
S01006849,985,524,461
S01006850,898,453,445
S01006851,651,328,323
S01006852,492,300,192
S01006853,741,457,284
S01006854,1292,855,437
S01006855,622,411,211
S01006856,739,464,275
S01006857,853,540,313
S01006858,518,348,170
S01006859,1092,663,429
S01006860,588,280,308
S01006861,646,444,202
S01006862,792,450,342
S01006863,973,586,387
S01006864,121,40,81
S01006865,802,416,386
S01006866,521,349,172
S01006867,982,650,332
S01006868,709,393,316
S01006869,472,281,191
S01006870,515,325,190
S01006871,766,478,288
S01006872,1190,753,437
S01006873,1032,655,377
S01006874,490,286,204
S01006875,834,417,417
S01006876,905,521,384
S01006877,902,537,365
S01006878,787,439,348
S01006879,954,540,414
S01006880,615,410,205
S01006881,461,312,149
S01006882,718,349,369
S01006883,538,286,252
S01006884,855,446,409
S01006885,631,416,215
S01006886,617,389,228
S01006887,677,432,245
S01006888,735,455,280
S01006889,519,285,234
S01006890,866,483,383
S01006891,530,313,217
S01006892,477,214,263
S01006893,780,441,339
S01006894,505,268,237
S01006895,404,143,261
S01006896,653,369,284
S01006897,846,460,386
S01006898,480,257,223
S01006899,398,237,161
S01006900,394,220,174
S01006901,695,302,393
S01006902,540,287,253
S01006903,785,369,416
S01006904,478,187,291
S01006905,863,487,376
S01006906,819,378,441
S01006907,634,239,395
S01006908,809,321,488
S01006909,363,225,138
S01006910,416,218,198
S01006911,1326,789,537
S01006912,211,128,83
S01006913,1413,871,542
S01006914,677,443,234
S01006915,656,447,209
S01006916,305,176,129
S01006917,964,645,319
S01006918,1246,825,421
S01006919,549,292,257
S01006920,676,367,309
S01006921,768,555,213
S01006922,1401,908,493
S01006923,1099,747,352
S01006924,570,302,268
S01006925,410,252,158
S01006926,1245,847,398
S01006927,284,124,160
S01006928,2090,1293,797
S01006929,1370,892,478
S01006930,598,399,199
S01006931,1381,818,563
S01006932,620,396,224
S01006933,671,393,278
S01006934,1276,779,497
S01006935,762,483,279
S01006936,569,329,240
S01006937,659,365,294
S01006938,705,419,286
S01006939,512,331,181
S01006940,833,488,345
S01006941,996,505,491
S01006942,1591,1041,550
S01006943,1233,707,526
S01006944,69,39,30
S01006945,747,481,266
S01006946,1032,560,472
S01006947,1096,650,446
S01006948,1126,661,465
S01006949,596,411,185
S01006950,525,278,247
S01006951,1018,545,473
S01006952,1220,685,535
S01006953,1217,738,479
S01006954,1372,868,504
S01006955,484,226,258
S01006956,1131,702,429
S01006957,1282,719,563
S01006958,894,547,347
S01006959,747,330,417
S01006960,1573,1028,545
S01006961,1636,1060,576
S01006962,778,467,311
S01006963,829,503,326
S01006964,721,340,381
S01006965,434,247,187
S01006966,596,272,324
S01006967,599,373,226
S01006968,977,517,460
S01006969,885,475,410
S01006970,522,346,176
S01006971,866,442,424
S01006972,422,250,172
S01006973,514,325,189
S01006974,1095,665,430
S01006975,944,571,373
S01006976,1808,1178,630
S01006977,2085,1329,756
S01006978,718,421,297
S01006979,1190,712,478
S01006980,554,362,192
S01006981,649,383,266
S01006982,919,509,410
S01006983,789,456,333
S01006984,790,460,330
S01006985,1116,621,495
S01006986,605,310,295
S01006987,848,486,362
S01006988,584,335,249
S01006989,663,443,220
S01006990,734,478,256
S01006991,519,256,263
S01006992,722,477,245
S01006993,607,392,215
S01006994,553,317,236
S01006995,907,534,373
S01006996,736,422,314
S01006997,603,387,216
S01006998,988,565,423
S01006999,724,446,278
S01007000,1194,667,527
S01007001,1114,639,475
S01007002,564,306,258
S01007003,499,308,191
S01007004,854,518,336
S01007005,830,552,278
S01007006,824,491,333
S01007007,672,420,252
S01007008,756,327,429
S01007009,1112,529,583
S01007010,777,380,397
S01007011,957,386,571
S01007012,737,306,431
S01007013,1047,599,448
S01007014,1101,678,423
S01007015,591,371,220
S01007016,478,310,168
S01007017,867,414,453
S01007018,989,608,381
S01007019,900,472,428
S01007020,1158,544,614
S01007021,1166,611,555
S01007022,687,399,288
S01007023,560,342,218
S01007024,999,621,378
S01007025,988,486,502
S01007026,884,450,434
S01007027,1079,621,458
S01007028,1208,755,453
S01007029,539,344,195
S01007030,797,413,384
S01007031,517,246,271
S01007032,989,405,584
S01007033,877,441,436
S01007034,857,375,482
S01007035,742,347,395
S01007036,935,532,403
S01007037,947,477,470
S01007038,694,318,376
S01007039,770,408,362
S01007040,1015,543,472
S01007041,802,392,410
S01007042,808,468,340
S01007043,929,576,353
S01007044,865,527,338
S01007045,807,495,312
S01007046,509,280,229
S01007047,847,509,338
S01007048,1129,673,456
S01007049,844,431,413
S01007050,872,494,378
S01007051,831,470,361
S01007052,473,276,197
S01007053,636,385,251
S01007054,947,499,448
S01007055,422,251,171
S01007056,744,441,303
S01007057,713,427,286
S01007058,665,346,319
S01007059,1074,588,486
S01007060,485,212,273
S01007061,925,571,354
S01007062,634,414,220
S01007063,1229,771,458
S01007064,628,395,233
S01007065,765,455,310
S01007066,537,326,211
S01007067,1096,599,497
S01007068,600,299,301
S01007069,769,401,368
S01007070,628,330,298
S01007071,1021,608,413
S01007072,1218,685,533
S01007073,1285,656,629
S01007074,915,494,421
S01007075,729,348,381
S01007076,832,480,352
S01007077,661,377,284
S01007078,812,369,443
S01007079,1062,434,628
S01007080,669,311,358
S01007081,826,330,496
S01007082,551,216,335
S01007083,794,280,514
S01007084,803,385,418
S01007085,960,352,608
S01007086,1129,334,795
S01007087,825,287,538
S01007088,520,181,339
S01007089,423,296,127
S01007090,451,220,231
S01007091,1004,559,445
S01007092,537,252,285
S01007093,853,534,319
S01007094,1741,1005,736
S01007095,602,372,230
S01007096,915,557,358
S01007097,1642,938,704
S01007098,1227,684,543
S01007099,694,434,260
S01007100,716,419,297
S01007101,1125,602,523
S01007102,705,425,280
S01007103,678,374,304
S01007104,398,264,134
S01007105,541,304,237
S01007106,764,437,327
S01007107,607,397,210
S01007108,936,562,374
S01007109,1189,673,516
S01007110,818,425,393
S01007111,443,258,185
S01007112,799,471,328
S01007113,675,358,317
S01007114,745,426,319
S01007115,609,370,239
S01007116,974,649,325
S01007117,472,328,144
S01007118,675,279,396
S01007119,777,351,426
S01007120,965,430,535
S01007121,741,250,491
S01007122,506,239,267
S01007123,824,360,464
S01007124,897,488,409
S01007125,676,332,344
S01007126,844,318,526
S01007127,833,294,539
S01007128,801,350,451
S01007129,739,490,249
S01007130,579,316,263
S01007131,920,567,353
S01007132,590,377,213
S01007133,554,340,214
S01007134,713,406,307
S01007135,642,395,247
S01007136,514,354,160
S01007137,600,414,186
S01007138,729,482,247
S01007139,627,404,223
S01007140,826,509,317
S01007141,994,623,371
S01007142,153,90,63
S01007143,847,571,276
S01007144,1866,1128,738
S01007145,773,461,312
S01007146,703,390,313
S01007147,718,458,260
S01007148,444,295,149
S01007149,729,488,241
S01007150,697,407,290
S01007151,962,600,362
S01007152,652,381,271
S01007153,778,473,305
S01007154,862,402,460
S01007155,613,329,284
S01007156,913,493,420
S01007157,711,374,337
S01007158,826,487,339
S01007159,770,305,465
S01007160,784,350,434
S01007161,932,470,462
S01007162,495,191,304
S01007163,862,469,393
S01007164,668,374,294
S01007165,811,459,352
S01007166,904,540,364
S01007167,679,445,234
S01007168,842,551,291
S01007169,720,407,313
S01007170,628,371,257
S01007171,902,456,446
S01007172,1084,649,435
S01007173,430,273,157
S01007174,765,390,375
S01007175,728,387,341
S01007176,872,488,384
S01007177,643,262,381
S01007178,808,296,512
S01007179,1162,695,467
S01007180,866,508,358
S01007181,975,507,468
S01007182,1090,456,634
S01007183,1139,477,662
S01007184,916,264,652
S01007185,792,237,555
S01007186,637,152,485
S01007187,707,217,490
S01007188,694,247,447
S01007189,803,286,517
S01007190,824,467,357
S01007191,609,276,333
S01007192,662,297,365
S01007193,700,312,388
S01007194,463,159,304
S01007195,835,398,437
S01007196,701,292,409
S01007197,532,162,370
S01007198,402,164,238
S01007199,842,313,529
S01007200,715,317,398
S01007201,870,438,432
S01007202,619,293,326
S01007203,685,396,289
S01007204,907,506,401
S01007205,718,424,294
S01007206,331,126,205
S01007207,882,487,395
S01007208,808,249,559
S01007209,726,236,490
S01007210,869,304,565
S01007211,805,290,515
S01007212,708,323,385
S01007213,789,362,427
S01007214,935,308,627
S01007215,831,368,463
S01007216,672,350,322
S01007217,979,442,537
S01007218,817,525,292
S01007219,903,459,444
S01007220,629,289,340
S01007221,857,563,294
S01007222,874,507,367
S01007223,558,357,201
S01007224,595,358,237
S01007225,970,587,383
S01007226,837,485,352
S01007227,1260,702,558
S01007228,658,380,278
S01007229,1032,637,395
S01007230,1034,435,599
S01007231,675,229,446
S01007232,601,202,399
S01007233,647,324,323
S01007234,505,238,267
S01007235,921,365,556
S01007236,948,394,554
S01007237,667,336,331
S01007238,852,451,401
S01007239,1201,665,536
S01007240,463,260,203
S01007241,992,602,390
S01007242,959,564,395
S01007243,1181,731,450
S01007244,620,407,213
S01007245,671,374,297
S01007246,719,441,278
S01007247,900,547,353
S01007248,891,577,314
S01007249,523,300,223
S01007250,716,288,428
S01007251,706,328,378
S01007252,741,383,358
S01007253,687,437,250
S01007254,799,342,457
S01007255,790,297,493
S01007256,762,292,470
S01007257,721,275,446
S01007258,733,350,383
S01007259,876,302,574
S01007260,968,351,617
S01007261,907,560,347
S01007262,585,282,303
S01007263,954,506,448
S01007264,737,405,332
S01007265,1001,429,572
S01007266,691,361,330
S01007267,514,315,199
S01007268,496,290,206
S01007269,551,335,216
S01007270,384,201,183
S01007271,952,466,486
S01007272,909,350,559
S01007273,623,314,309
S01007274,783,301,482
S01007275,610,347,263
S01007276,950,502,448
S01007277,773,473,300
S01007278,791,500,291
S01007279,553,326,227
S01007280,531,299,232
S01007281,965,517,448
S01007282,436,232,204
S01007283,866,528,338
S01007284,702,342,360
S01007285,964,519,445
S01007286,1201,586,615
S01007287,523,240,283
S01007288,584,323,261
S01007289,825,487,338
S01007290,807,362,445
S01007291,519,220,299
S01007292,632,360,272
S01007293,833,331,502
S01007294,862,414,448
S01007295,564,127,437
S01007296,519,106,413
S01007297,997,453,544
S01007298,437,188,249
S01007299,865,337,528
S01007300,552,200,352
S01007301,736,446,290
S01007302,665,368,297
S01007303,948,534,414
S01007304,584,344,240
S01007305,829,502,327
S01007306,1035,566,469
S01007307,883,519,364
S01007308,754,381,373
S01007309,698,389,309
S01007310,740,444,296
S01007311,792,393,399
S01007312,701,422,279
S01007313,826,494,332
S01007314,732,405,327
S01007315,781,378,403
S01007316,971,382,589
S01007317,908,436,472
S01007318,475,242,233
S01007319,738,358,380
S01007320,770,427,343
S01007321,528,328,200
S01007322,727,317,410
S01007323,394,191,203
S01007324,290,150,140
S01007325,685,357,328
S01007326,838,481,357
S01007327,745,328,417
S01007328,906,433,473
S01007329,568,313,255
S01007330,690,406,284
S01007331,892,493,399
S01007332,523,312,211
S01007333,963,487,476
S01007334,786,282,504
S01007335,738,320,418
S01007336,656,211,445
S01007337,562,209,353
S01007338,880,464,416
S01007339,737,402,335
S01007340,573,267,306
S01007341,734,409,325
S01007342,724,434,290
S01007343,569,353,216
S01007344,506,260,246
S01007345,538,148,390
S01007346,757,172,585
S01007347,943,364,579
S01007348,617,242,375
S01007349,544,251,293
S01007350,596,237,359
S01007351,592,325,267
S01007352,442,271,171
S01007353,668,393,275
S01007354,707,401,306
S01007355,1152,659,493
S01007356,625,366,259
S01007357,681,381,300
S01007358,1212,648,564
S01007359,828,399,429
S01007360,780,405,375
S01007361,884,438,446
S01007362,978,466,512
S01007363,855,409,446
S01007364,852,325,527
S01007365,392,181,211
S01007366,469,179,290
S01007367,532,209,323
S01007368,509,218,291
S01007369,912,436,476
S01007370,793,245,548
S01007371,765,328,437
S01007372,1047,580,467
S01007373,616,378,238
S01007374,671,377,294
S01007375,406,233,173
S01007376,820,381,439
S01007377,553,361,192
S01007378,1590,423,1167
S01007379,786,437,349
S01007380,670,350,320
S01007381,423,282,141
S01007382,804,442,362
S01007383,637,377,260
S01007384,875,537,338
S01007385,1033,582,451
S01007386,684,467,217
S01007387,715,493,222
S01007388,623,408,215
S01007389,518,314,204
S01007390,472,251,221
S01007391,563,389,174
S01007392,413,262,151
S01007393,879,484,395
S01007394,620,293,327
S01007395,992,317,675
S01007396,931,292,639
S01007397,794,441,353
S01007398,614,243,371
S01007399,669,188,481
S01007400,730,328,402
S01007401,631,341,290
S01007402,604,356,248
S01007403,659,467,192
S01007404,500,280,220
S01007405,676,389,287
S01007406,819,533,286
S01007407,896,552,344
S01007408,712,369,343
S01007409,566,295,271
S01007410,746,269,477
S01007411,821,263,558
S01007412,472,207,265
S01007413,789,443,346
S01007414,646,411,235
S01007415,677,317,360
S01007416,423,162,261
S01007417,180,84,96
S01007418,737,357,380
S01007419,757,294,463
S01007420,3695,1877,1818
S01007421,1092,643,449
S01007422,665,282,383
S01007423,326,142,184
S01007424,673,439,234
S01007425,786,453,333
S01007426,684,244,440
S01007427,633,298,335
S01007428,859,365,494
S01007429,784,318,466
S01007430,485,259,226
S01007431,612,363,249
S01007432,708,376,332
S01007433,938,510,428
S01007434,490,185,305
S01007435,672,301,371
S01007436,817,280,537
S01007437,482,184,298
S01007438,572,275,297
S01007439,744,367,377
S01007440,647,345,302
S01007441,558,375,183
S01007442,733,509,224
S01007443,857,476,381
S01007444,1253,729,524
S01007445,551,380,171
S01007446,576,369,207
S01007447,565,395,170
S01007448,972,609,363
S01007449,961,462,499
S01007450,1077,459,618
S01007451,524,283,241
S01007452,1089,567,522
S01007453,89,32,57
S01007454,418,217,201
S01007455,677,269,408
S01007456,862,305,557
S01007457,870,425,445
S01007458,675,414,261
S01007459,748,419,329
S01007460,780,384,396
S01007461,791,246,545
S01007462,840,338,502
S01007463,851,289,562
S01007464,838,349,489
S01007465,594,177,417
S01007466,981,255,726
S01007467,865,340,525
S01007468,921,518,403
S01007469,465,229,236
S01007470,572,217,355
S01007471,382,199,183
S01007472,892,370,522
S01007473,724,357,367
S01007474,611,382,229
S01007475,449,230,219
S01007476,633,374,259
S01007477,611,299,312
S01007478,938,380,558
S01007479,355,154,201
S01007480,1031,537,494
S01007481,872,562,310
S01007482,584,286,298
S01007483,779,373,406
S01007484,706,281,425
S01007485,640,223,417
S01007486,639,192,447
S01007487,1002,330,672
S01007488,971,430,541
S01007489,725,369,356
S01007490,1003,481,522
S01007491,863,369,494
S01007492,597,306,291
S01007493,890,417,473
S01007494,638,367,271
S01007495,677,437,240
S01007496,996,540,456
S01007497,481,275,206
S01007498,896,467,429
S01007499,687,379,308
S01007500,648,370,278
S01007501,598,382,216
S01007502,547,315,232
S01007503,953,557,396
S01007504,981,487,494
S01007505,418,219,199
S01007506,426,266,160
S01007507,1275,676,599
S01007508,604,339,265
S01007509,613,368,245
S01007510,862,493,369
S01007511,934,458,476
S01007512,449,242,207
S01007513,1040,474,566
S01007514,556,244,312
S01007515,600,367,233
S01007516,646,292,354
S01007517,502,272,230
S01007518,867,447,420
S01007519,463,296,167
S01007520,810,457,353
S01007521,570,331,239
S01007522,991,502,489
S01007523,457,236,221
S01007524,818,484,334
S01007525,465,267,198
S01007526,780,324,456
S01007527,1243,720,523
S01007528,822,385,437
S01007529,754,473,281
S01007530,446,269,177
S01007531,643,355,288
S01007532,480,274,206
S01007533,732,377,355
S01007534,1203,556,647
S01007535,813,444,369
S01007536,860,405,455
S01007537,1393,627,766
S01007538,869,469,400
S01007539,742,437,305
S01007540,722,356,366
S01007541,1051,535,516
S01007542,806,364,442
S01007543,1057,520,537
S01007544,1131,671,460
S01007545,1257,756,501
S01007546,536,363,173
S01007547,459,253,206
S01007548,790,441,349
S01007549,653,372,281
S01007550,1057,613,444
S01007551,1133,649,484
S01007552,847,424,423
S01007553,852,443,409
S01007554,706,343,363
S01007555,703,388,315
S01007556,652,317,335
S01007557,899,446,453
S01007558,407,240,167
S01007559,691,359,332
S01007560,1004,528,476
S01007561,978,494,484
S01007562,688,385,303
S01007563,908,534,374
S01007564,1084,641,443
S01007565,961,555,406
S01007566,681,416,265
S01007567,483,317,166
S01007568,622,368,254
S01007569,1061,624,437
S01007570,926,512,414
S01007571,465,278,187
S01007572,1360,757,603
S01007573,74,36,38
S01007574,1800,919,881
S01007575,704,260,444
S01007576,795,241,554
S01007577,700,258,442
S01007578,645,215,430
S01007579,495,149,346
S01007580,755,277,478
S01007581,523,199,324
S01007582,720,313,407
S01007583,1047,300,747
S01007584,813,338,475
S01007585,949,494,455
S01007586,892,394,498
S01007587,732,314,418
S01007588,809,462,347
S01007589,999,366,633
S01007590,539,328,211
S01007591,983,431,552
S01007592,956,334,622
S01007593,1020,550,470
S01007594,712,413,299
S01007595,901,515,386
S01007596,621,331,290
S01007597,529,323,206
S01007598,947,590,357
S01007599,697,363,334
S01007600,896,441,455
S01007601,526,238,288
S01007602,777,452,325
S01007603,760,460,300
S01007604,874,548,326
S01007605,1002,594,408
S01007606,522,247,275
S01007607,779,487,292
S01007608,832,477,355
S01007609,799,295,504
S01007610,639,188,451
S01007611,1008,271,737
S01007612,938,230,708
S01007613,874,381,493
S01007614,907,532,375
S01007615,1148,538,610
S01007616,755,286,469
S01007617,564,284,280
S01007618,643,321,322
S01007619,613,308,305
S01007620,715,421,294
S01007621,767,410,357
S01007622,1088,620,468
S01007623,510,319,191
S01007624,603,344,259
S01007625,578,313,265
S01007626,501,280,221
S01007627,445,222,223
S01007628,755,450,305
S01007629,719,444,275
S01007630,696,406,290
S01007631,518,334,184
S01007632,1397,749,648
S01007633,1290,724,566
S01007634,668,385,283
S01007635,869,518,351
S01007636,1209,555,654
S01007637,1132,511,621
S01007638,924,406,518
S01007639,846,388,458
S01007640,600,348,252
S01007641,679,361,318
S01007642,982,523,459
S01007643,899,462,437
S01007644,919,531,388
S01007645,784,511,273
S01007646,534,277,257
S01007647,874,454,420
S01007648,929,475,454
S01007649,620,326,294
S01007650,917,523,394
S01007651,583,346,237
S01007652,755,426,329
S01007653,980,535,445
S01007654,1083,583,500
S01007655,663,394,269
S01007656,786,464,322
S01007657,500,290,210
S01007658,586,318,268
S01007659,865,456,409
S01007660,1046,459,587
S01007661,767,346,421
S01007662,911,384,527
S01007663,950,489,461
S01007664,485,193,292
S01007665,576,266,310
S01007666,415,258,157
S01007667,586,377,209
S01007668,1039,458,581
S01007669,480,182,298
S01007670,883,394,489
S01007671,729,441,288
S01007672,885,597,288
S01007673,586,339,247
S01007674,956,529,427
S01007675,661,422,239
S01007676,474,293,181
S01007677,215,138,77
S01007678,702,335,367
S01007679,846,372,474
S01007680,783,485,298
S01007681,464,239,225
S01007682,872,464,408
S01007683,877,487,390
S01007684,1014,602,412
S01007685,1026,471,555
S01007686,970,437,533
S01007687,835,273,562
S01007688,1107,211,896
S01007689,559,108,451
S01007690,1084,148,936
S01007691,4350,205,4145
S01007692,952,125,827
S01007693,1230,97,1133
S01007694,893,103,790
S01007695,959,215,744
S01007696,925,141,784
S01007697,1221,248,973
S01007698,1181,185,996
S01007699,691,130,561
S01007700,858,393,465
S01007701,410,43,367
S01007702,2133,180,1953
S01007703,1094,347,747
S01007704,1245,208,1037
S01007705,1020,49,971
S01007706,1020,55,965
S01007707,1131,229,902
S01007708,894,222,672
S01007709,760,137,623
S01007710,2012,351,1661
S01007711,1253,230,1023
S01007712,958,196,762
S01007713,495,131,364
S01007714,547,202,345
S01007715,669,169,500
S01007716,1099,217,882
S01007717,840,184,656
S01007718,878,193,685
S01007719,1382,378,1004
S01007720,970,405,565
S01007721,959,275,684
S01007722,827,194,633
S01007723,908,216,692
S01007724,652,140,512
S01007725,1185,265,920
S01007726,744,183,561
S01007727,876,159,717
S01007728,1123,218,905
S01007729,873,187,686
S01007730,873,198,675
S01007731,615,149,466
S01007732,897,170,727
S01007733,685,375,310
S01007734,725,415,310
S01007735,716,400,316
S01007736,727,370,357
S01007737,955,386,569
S01007738,965,433,532
S01007739,729,275,454
S01007740,614,268,346
S01007741,777,282,495
S01007742,635,254,381
S01007743,724,237,487
S01007744,617,186,431
S01007745,818,214,604
S01007746,720,282,438
S01007747,631,207,424
S01007748,543,137,406
S01007749,716,452,264
S01007750,817,490,327
S01007751,676,387,289
S01007752,1034,562,472
S01007753,738,276,462
S01007754,1028,395,633
