dz_2011,total,married,single
S01006722,689,344,345
S01006723,837,429,408
S01006724,923,356,567
S01006725,809,389,420
S01006726,623,195,428
S01006727,870,304,566
S01006728,708,374,334
S01006729,665,274,391
S01006730,595,320,275
S01006731,437,224,213
S01006732,875,468,407
S01006733,635,478,157
S01006734,839,534,305
S01006735,747,553,194
S01006736,676,426,250
S01006737,656,428,228
S01006738,575,210,365
S01006739,450,219,231
S01006740,912,485,427
S01006741,713,394,319
S01006742,423,238,185
S01006743,820,460,360
S01006744,572,261,311
S01006745,922,458,464
S01006746,652,354,298
S01006747,1053,637,416
S01006748,898,564,334
S01006749,1155,615,540
S01006750,702,366,336
S01006751,399,205,194
S01006752,740,430,310
S01006753,803,477,326
S01006754,1043,695,348
S01006755,653,386,267
S01006756,207,141,66
S01006757,1153,631,522
S01006758,569,340,229
S01006759,496,345,151
S01006760,512,257,255
S01006761,845,528,317
S01006762,904,535,369
S01006763,876,483,393
S01006764,662,365,297
S01006765,616,319,297
S01006766,502,318,184
S01006767,780,457,323
S01006768,558,389,169
S01006769,1061,663,398
S01006770,641,416,225
S01006771,411,305,106
S01006772,1219,694,525
S01006773,558,368,190
S01006774,669,462,207
S01006775,655,313,342
S01006776,637,319,318
S01006777,890,606,284
S01006778,789,483,306
S01006779,905,448,457
S01006780,757,393,364
S01006781,848,587,261
S01006782,773,462,311
S01006783,570,372,198
S01006784,642,347,295
S01006785,522,375,147
S01006786,904,588,316
S01006787,921,595,326
S01006788,550,302,248
S01006789,811,420,391
S01006790,733,429,304
S01006791,419,240,179
S01006792,601,329,272
S01006793,542,321,221
S01006794,683,429,254
S01006795,549,389,160
S01006796,304,204,100
S01006797,510,320,190
S01006798,531,341,190
S01006799,761,376,385
S01006800,687,488,199
S01006801,578,355,223
S01006802,538,306,232
S01006803,589,354,235
S01006804,566,348,218
S01006805,817,527,290
S01006806,802,487,315
S01006807,387,228,159
S01006808,689,466,223
S01006809,735,437,298
S01006810,777,475,302
S01006811,657,398,259
S01006812,588,341,247
S01006813,675,383,292
S01006814,692,476,216
S01006815,498,270,228
S01006816,748,467,281
S01006817,546,315,231
S01006818,529,352,177
S01006819,594,401,193
S01006820,447,282,165
S01006821,736,498,238
S01006822,597,381,216
S01006823,710,424,286
S01006824,548,205,343
S01006825,862,556,306
S01006826,922,624,298
S01006827,837,409,428
S01006828,829,385,444
S01006829,198,108,90
S01006830,491,318,173
S01006831,1107,742,365
S01006832,763,458,305
S01006833,573,367,206
S01006834,192,140,52
S01006835,1035,477,558
S01006836,46,17,29
S01006837,378,247,131
S01006838,770,505,265
S01006839,729,466,263
S01006840,903,645,258
S01006841,1052,708,344
S01006842,845,571,274
S01006843,754,527,227
S01006844,576,310,266
S01006845,777,474,303
S01006846,694,406,288
S01006847,596,384,212
S01006848,641,399,242
S01006849,334,206,128
S01006850,899,513,386
S01006851,576,350,226
S01006852,463,313,150
S01006853,638,425,213
S01006854,1081,724,357
S01006855,598,414,184
S01006856,685,454,231
S01006857,778,495,283
S01006858,486,313,173
S01006859,769,533,236
S01006860,560,321,239
S01006861,213,143,70
S01006862,787,485,302
S01006863,500,273,227
S01006864,124,45,79
S01006865,791,429,362
S01006866,515,354,161
S01006867,915,574,341
S01006868,691,422,269
S01006869,466,280,186
S01006870,432,287,145
S01006871,719,495,224
S01006872,749,512,237
S01006873,912,576,336
S01006874,479,316,163
S01006875,568,304,264
S01006876,777,520,257
S01006877,812,532,280
S01006878,796,478,318
S01006879,702,437,265
S01006880,444,311,133
S01006881,437,297,140
S01006882,764,450,314
S01006883,463,271,192
S01006884,808,490,318
S01006885,557,370,187
S01006886,578,360,218
S01006887,305,219,86
S01006888,552,359,193
S01006889,535,293,242
S01006890,803,512,291
S01006891,512,301,211
S01006892,491,244,247
S01006893,839,487,352
S01006894,519,320,199
S01006895,436,200,236
S01006896,634,414,220
S01006897,835,527,308
S01006898,411,248,163
S01006899,289,207,82
S01006900,372,251,121
S01006901,662,352,310
S01006902,520,281,239
S01006903,741,424,317
S01006904,380,187,193
S01006905,812,521,291
S01006906,938,491,447
S01006907,531,229,302
S01006908,737,350,387
S01006909,203,128,75
S01006910,260,172,88
S01006911,250,146,104
S01006912,214,144,70
S01006913,386,242,144
S01006914,593,396,197
S01006915,619,440,179
S01006916,227,138,89
S01006917,92,53,39
S01006918,369,245,124
S01006919,448,299,149
S01006920,501,255,246
S01006921,346,247,99
S01006922,478,295,183
S01006923,600,380,220
S01006924,347,215,132
S01006925,447,283,164
S01006926,252,177,75
S01006927,204,134,70
S01006928,897,559,338
S01006929,960,712,248
S01006930,669,429,240
S01006931,315,196,119
S01006932,362,264,98
S01006933,677,421,256
S01006934,569,305,264
S01006935,773,536,237
S01006936,604,375,229
S01006937,737,440,297
S01006938,745,442,303
S01006939,538,390,148
S01006940,867,534,333
S01006941,695,429,266
S01006942,784,529,255
S01006943,206,112,94
S01006944,73,38,35
S01006945,837,547,290
S01006946,629,392,237
S01006947,842,528,314
S01006948,767,479,288
S01006949,522,355,167
S01006950,182,104,78
S01006951,672,407,265
S01006952,933,555,378
S01006953,947,626,321
S01006954,895,580,315
S01006955,447,227,220
S01006956,549,337,212
S01006957,664,409,255
S01006958,878,578,300
S01006959,698,346,352
S01006960,269,206,63
S01006961,247,169,78
S01006962,665,426,239
S01006963,863,596,267
S01006964,661,377,284
S01006965,449,280,169
S01006966,618,330,288
S01006967,589,413,176
S01006968,926,543,383
S01006969,865,482,383
S01006970,553,392,161
S01006971,737,421,316
S01006972,355,230,125
S01006973,466,288,178
S01006974,992,652,340
S01006975,869,522,347
S01006976,449,287,162
S01006977,663,409,254
S01006978,607,386,221
S01006979,1045,681,364
S01006980,490,337,153
S01006981,618,414,204
S01006982,722,411,311
S01006983,788,491,297
S01006984,609,372,237
S01006985,1029,636,393
S01006986,360,193,167
S01006987,781,487,294
S01006988,365,231,134
S01006989,553,382,171
S01006990,333,224,109
S01006991,554,322,232
S01006992,650,443,207
S01006993,554,386,168
S01006994,480,300,180
S01006995,691,469,222
S01006996,535,357,178
S01006997,456,305,151
S01006998,750,468,282
S01006999,626,421,205
S01007000,881,521,360
S01007001,756,439,317
S01007002,310,181,129
S01007003,430,286,144
S01007004,822,534,288
S01007005,703,478,225
S01007006,755,476,279
S01007007,583,389,194
S01007008,720,359,361
S01007009,1087,574,513
S01007010,833,438,395
S01007011,955,436,519
S01007012,768,385,383
S01007013,740,476,264
S01007014,783,543,240
S01007015,567,371,196
S01007016,418,277,141
S01007017,907,467,440
S01007018,944,600,344
S01007019,848,482,366
S01007020,821,412,409
S01007021,1103,610,493
S01007022,379,250,129
S01007023,582,363,219
S01007024,896,582,314
S01007025,944,483,461
S01007026,799,433,366
S01007027,1116,619,497
S01007028,1013,595,418
S01007029,417,276,141
S01007030,767,440,327
S01007031,487,269,218
S01007032,1001,444,557
S01007033,932,518,414
S01007034,782,385,397
S01007035,770,379,391
S01007036,820,497,323
S01007037,886,539,347
S01007038,651,326,325
S01007039,566,296,270
S01007040,814,470,344
S01007041,820,452,368
S01007042,702,420,282
S01007043,833,516,317
S01007044,833,501,332
S01007045,691,438,253
S01007046,431,227,204
S01007047,778,454,324
S01007048,1050,665,385
S01007049,794,432,362
S01007050,764,453,311
S01007051,783,472,311
S01007052,423,254,169
S01007053,642,375,267
S01007054,843,503,340
S01007055,383,247,136
S01007056,633,375,258
S01007057,737,467,270
S01007058,679,406,273
S01007059,896,545,351
S01007060,513,249,264
S01007061,836,540,296
S01007062,552,368,184
S01007063,1098,680,418
S01007064,560,341,219
S01007065,596,357,239
S01007066,531,308,223
S01007067,1071,619,452
S01007068,626,353,273
S01007069,840,433,407
S01007070,629,327,302
S01007071,895,568,327
S01007072,1181,708,473
S01007073,1400,817,583
S01007074,920,589,331
S01007075,792,438,354
S01007076,673,412,261
S01007077,700,440,260
S01007078,857,432,425
S01007079,1005,487,518
S01007080,725,400,325
S01007081,809,405,404
S01007082,519,226,293
S01007083,758,334,424
S01007084,740,382,358
S01007085,895,369,526
S01007086,910,239,671
S01007087,793,302,491
S01007088,508,211,297
S01007089,444,320,124
S01007090,427,259,168
S01007091,211,154,57
S01007092,596,328,268
S01007093,862,594,268
S01007094,931,614,317
S01007095,522,323,199
S01007096,753,495,258
S01007097,676,438,238
S01007098,406,257,149
S01007099,499,332,167
S01007100,695,434,261
S01007101,980,550,430
S01007102,607,393,214
S01007103,632,399,233
S01007104,380,262,118
S01007105,536,318,218
S01007106,755,444,311
S01007107,517,338,179
S01007108,535,324,211
S01007109,777,436,341
S01007110,769,447,322
S01007111,419,261,158
S01007112,727,497,230
S01007113,700,391,309
S01007114,686,456,230
S01007115,610,398,212
S01007116,513,379,134
S01007117,488,387,101
S01007118,703,390,313
S01007119,770,403,367
S01007120,878,470,408
S01007121,634,239,395
S01007122,492,255,237
S01007123,836,413,423
S01007124,893,512,381
S01007125,608,323,285
S01007126,771,328,443
S01007127,496,203,293
S01007128,846,430,416
S01007129,530,359,171
S01007130,566,346,220
S01007131,640,428,212
S01007132,566,392,174
S01007133,508,277,231
S01007134,665,389,276
S01007135,547,344,203
S01007136,251,170,81
S01007137,118,72,46
S01007138,355,214,141
S01007139,604,404,200
S01007140,653,436,217
S01007141,520,300,220
S01007142,120,80,40
S01007143,371,253,118
S01007144,1208,777,431
S01007145,792,491,301
S01007146,733,457,276
S01007147,754,527,227
S01007148,433,322,111
S01007149,785,589,196
S01007150,726,469,257
S01007151,864,540,324
S01007152,675,421,254
S01007153,830,561,269
S01007154,800,359,441
S01007155,589,337,252
S01007156,777,469,308
S01007157,647,362,285
S01007158,682,427,255
S01007159,717,333,384
S01007160,669,362,307
S01007161,771,417,354
S01007162,351,177,174
S01007163,898,558,340
S01007164,689,381,308
S01007165,748,446,302
S01007166,919,551,368
S01007167,757,516,241
S01007168,851,574,277
S01007169,725,464,261
S01007170,561,366,195
S01007171,1036,487,549
S01007172,981,490,491
S01007173,475,317,158
S01007174,582,349,233
S01007175,672,408,264
S01007176,847,524,323
S01007177,622,265,357
S01007178,765,292,473
S01007179,1050,704,346
S01007180,894,559,335
S01007181,977,537,440
S01007182,1012,523,489
S01007183,1066,530,536
S01007184,854,355,499
S01007185,747,251,496
S01007186,527,166,361
S01007187,658,230,428
S01007188,627,252,375
S01007189,798,301,497
S01007190,838,500,338
S01007191,604,318,286
S01007192,678,358,320
S01007193,659,332,327
S01007194,453,196,257
S01007195,758,382,376
S01007196,523,245,278
S01007197,309,99,210
S01007198,368,169,199
S01007199,786,358,428
S01007200,746,395,351
S01007201,882,483,399
S01007202,659,365,294
S01007203,712,450,262
S01007204,813,448,365
S01007205,622,395,227
S01007206,297,133,164
S01007207,859,505,354
S01007208,673,231,442
S01007209,606,198,408
S01007210,837,347,490
S01007211,639,292,347
S01007212,675,345,330
S01007213,739,367,372
S01007214,835,284,551
S01007215,778,377,401
S01007216,706,383,323
S01007217,723,388,335
S01007218,632,445,187
S01007219,876,496,380
S01007220,652,323,329
S01007221,530,351,179
S01007222,885,496,389
S01007223,558,377,181
S01007224,596,351,245
S01007225,835,496,339
S01007226,746,449,297
S01007227,1116,664,452
S01007228,611,385,226
S01007229,971,628,343
S01007230,1039,480,559
S01007231,632,247,385
S01007232,479,208,271
S01007233,582,345,237
S01007234,524,283,241
S01007235,872,439,433
S01007236,935,510,425
S01007237,631,388,243
S01007238,798,502,296
S01007239,1077,683,394
S01007240,474,295,179
S01007241,952,605,347
S01007242,873,561,312
S01007243,1016,656,360
S01007244,530,357,173
S01007245,639,396,243
S01007246,508,346,162
S01007247,862,528,334
S01007248,706,498,208
S01007249,507,329,178
S01007250,649,330,319
S01007251,528,246,282
S01007252,667,384,283
S01007253,622,414,208
S01007254,741,329,412
S01007255,819,364,455
S01007256,645,263,382
S01007257,699,265,434
S01007258,654,324,330
S01007259,769,335,434
S01007260,903,415,488
S01007261,842,557,285
S01007262,582,347,235
S01007263,1020,584,436
S01007264,758,451,307
S01007265,934,414,520
S01007266,671,381,290
S01007267,456,292,164
S01007268,465,306,159
S01007269,525,340,185
S01007270,405,249,156
S01007271,938,499,439
S01007272,896,403,493
S01007273,539,301,238
S01007274,703,316,387
S01007275,653,379,274
S01007276,892,492,400
S01007277,800,522,278
S01007278,754,519,235
S01007279,532,351,181
S01007280,520,324,196
S01007281,894,504,390
S01007282,400,235,165
S01007283,750,441,309
S01007284,711,364,347
S01007285,838,464,374
S01007286,1075,596,479
S01007287,466,243,223
S01007288,609,355,254
S01007289,792,502,290
S01007290,329,167,162
S01007291,499,244,255
S01007292,562,377,185
S01007293,857,381,476
S01007294,784,403,381
S01007295,524,155,369
S01007296,527,130,397
S01007297,788,421,367
S01007298,446,214,232
S01007299,788,375,413
S01007300,614,265,349
S01007301,703,435,268
S01007302,721,402,319
S01007303,829,498,331
S01007304,489,304,185
S01007305,777,479,298
S01007306,819,454,365
S01007307,776,513,263
S01007308,669,398,271
S01007309,643,351,292
S01007310,787,459,328
S01007311,781,420,361
S01007312,684,408,276
S01007313,728,414,314
S01007314,735,442,293
S01007315,626,334,292
S01007316,905,427,478
S01007317,912,469,443
S01007318,488,259,229
S01007319,706,384,322
S01007320,827,493,334
S01007321,514,307,207
S01007322,674,349,325
S01007323,491,243,248
S01007324,245,121,124
S01007325,650,340,310
S01007326,849,494,355
S01007327,774,389,385
S01007328,880,436,444
S01007329,522,286,236
S01007330,715,438,277
S01007331,725,446,279
S01007332,560,359,201
S01007333,939,527,412
S01007334,715,284,431
S01007335,826,433,393
S01007336,630,206,424
S01007337,572,247,325
S01007338,931,564,367
S01007339,714,433,281
S01007340,628,318,310
S01007341,677,387,290
S01007342,698,440,258
S01007343,638,373,265
S01007344,488,278,210
S01007345,480,141,339
S01007346,773,183,590
S01007347,953,416,537
S01007348,681,281,400
S01007349,540,227,313
S01007350,579,281,298
S01007351,564,334,230
S01007352,434,275,159
S01007353,594,356,238
S01007354,675,417,258
S01007355,1107,613,494
S01007356,602,353,249
S01007357,706,416,290
S01007358,1268,707,561
S01007359,762,403,359
S01007360,668,386,282
S01007361,908,463,445
S01007362,864,455,409
S01007363,858,460,398
S01007364,848,393,455
S01007365,379,205,174
S01007366,502,211,291
S01007367,542,230,312
S01007368,525,211,314
S01007369,894,447,447
S01007370,736,271,465
S01007371,698,375,323
S01007372,849,501,348
S01007373,489,310,179
S01007374,688,390,298
S01007375,417,257,160
S01007376,831,455,376
S01007377,546,360,186
S01007378,2883,413,2470
S01007379,748,426,322
S01007380,599,331,268
S01007381,414,289,125
S01007382,827,483,344
S01007383,668,392,276
S01007384,826,489,337
S01007385,1126,666,460
S01007386,715,499,216
S01007387,778,515,263
S01007388,608,436,172
S01007389,588,446,142
S01007390,278,173,105
S01007391,542,395,147
S01007392,389,267,122
S01007393,860,469,391
S01007394,660,342,318
S01007395,1059,370,689
S01007396,974,339,635
S01007397,792,444,348
S01007398,543,250,293
S01007399,564,182,382
S01007400,775,424,351
S01007401,643,405,238
S01007402,600,388,212
S01007403,549,444,105
S01007404,582,361,221
S01007405,424,263,161
S01007406,590,375,215
S01007407,657,441,216
S01007408,742,414,328
S01007409,573,323,250
S01007410,714,315,399
S01007411,719,236,483
S01007412,481,258,223
S01007413,603,380,223
S01007414,261,181,80
S01007415,730,393,337
S01007416,393,170,223
S01007417,197,130,67
S01007418,586,316,270
S01007419,676,319,357
S01007420,1274,425,849
S01007421,508,267,241
S01007422,679,319,360
S01007423,311,160,151
S01007424,668,450,218
S01007425,827,512,315
S01007426,744,347,397
S01007427,669,379,290
S01007428,926,478,448
S01007429,773,361,412
S01007430,467,243,224
S01007431,553,360,193
S01007432,591,371,220
S01007433,787,468,319
S01007434,492,240,252
S01007435,671,362,309
S01007436,862,347,515
S01007437,472,219,253
S01007438,590,296,294
S01007439,797,433,364
S01007440,684,443,241
S01007441,544,372,172
S01007442,630,459,171
S01007443,807,470,337
S01007444,1155,681,474
S01007445,599,413,186
S01007446,591,384,207
S01007447,528,364,164
S01007448,838,583,255
S01007449,838,468,370
S01007450,1022,516,506
S01007451,560,336,224
S01007452,595,315,280
S01007453,78,40,38
S01007454,490,260,230
S01007455,690,347,343
S01007456,846,388,458
S01007457,563,247,316
S01007458,691,473,218
S01007459,754,492,262
S01007460,771,386,385
S01007461,764,282,482
S01007462,805,370,435
S01007463,794,339,455
S01007464,882,393,489
S01007465,607,225,382
S01007466,814,268,546
S01007467,865,400,465
S01007468,934,597,337
S01007469,552,336,216
S01007470,536,216,320
S01007471,415,244,171
S01007472,930,466,464
S01007473,387,180,207
S01007474,355,239,116
S01007475,433,237,196
S01007476,674,433,241
S01007477,651,364,287
S01007478,752,334,418
S01007479,362,175,187
S01007480,682,356,326
S01007481,849,602,247
S01007482,645,380,265
S01007483,831,462,369
S01007484,733,329,404
S01007485,665,287,378
S01007486,690,224,466
S01007487,1017,413,604
S01007488,870,473,397
S01007489,767,455,312
S01007490,996,544,452
S01007491,605,298,307
S01007492,584,303,281
S01007493,737,430,307
S01007494,664,406,258
S01007495,573,389,184
S01007496,890,554,336
S01007497,512,308,204
S01007498,956,587,369
S01007499,660,397,263
S01007500,636,395,241
S01007501,554,350,204
S01007502,556,340,216
S01007503,896,529,367
S01007504,918,537,381
S01007505,347,218,129
S01007506,454,308,146
S01007507,1207,724,483
S01007508,581,324,257
S01007509,591,390,201
S01007510,791,493,298
S01007511,942,526,416
S01007512,462,266,196
S01007513,889,471,418
S01007514,513,231,282
S01007515,527,318,209
S01007516,636,310,326
S01007517,484,269,215
S01007518,750,421,329
S01007519,501,306,195
S01007520,798,482,316
S01007521,595,388,207
S01007522,992,549,443
S01007523,424,240,184
S01007524,749,445,304
S01007525,481,272,209
S01007526,805,377,428
S01007527,1217,724,493
S01007528,821,423,398
S01007529,702,450,252
S01007530,427,269,158
S01007531,635,385,250
S01007532,406,243,163
S01007533,644,373,271
S01007534,1105,581,524
S01007535,729,427,302
S01007536,867,495,372
S01007537,1235,670,565
S01007538,633,395,238
S01007539,759,461,298
S01007540,717,367,350
S01007541,986,512,474
S01007542,751,358,393
S01007543,1016,548,468
S01007544,1248,785,463
S01007545,1075,694,381
S01007546,486,299,187
S01007547,425,268,157
S01007548,704,423,281
S01007549,653,399,254
S01007550,1051,635,416
S01007551,1100,641,459
S01007552,821,434,387
S01007553,841,467,374
S01007554,723,396,327
S01007555,632,403,229
S01007556,628,363,265
S01007557,936,546,390
S01007558,457,288,169
S01007559,614,376,238
S01007560,888,485,403
S01007561,882,493,389
S01007562,629,381,248
S01007563,882,508,374
S01007564,991,626,365
S01007565,802,495,307
S01007566,618,380,238
S01007567,407,257,150
S01007568,615,385,230
S01007569,784,466,318
S01007570,808,507,301
S01007571,448,293,155
S01007572,549,313,236
S01007573,156,62,94
S01007574,1127,664,463
S01007575,722,348,374
S01007576,839,300,539
S01007577,707,330,377
S01007578,679,297,382
S01007579,399,166,233
S01007580,728,341,387
S01007581,485,238,247
S01007582,722,376,346
S01007583,967,340,627
S01007584,704,315,389
S01007585,870,524,346
S01007586,781,387,394
S01007587,694,311,383
S01007588,823,533,290
S01007589,952,372,580
S01007590,547,367,180
S01007591,733,378,355
S01007592,864,361,503
S01007593,914,513,401
S01007594,739,457,282
S01007595,797,515,282
S01007596,644,387,257
S01007597,496,317,179
S01007598,857,529,328
S01007599,534,283,251
S01007600,828,416,412
S01007601,515,248,267
S01007602,822,512,310
S01007603,750,494,256
S01007604,845,601,244
S01007605,935,613,322
S01007606,506,268,238
S01007607,805,557,248
S01007608,866,552,314
S01007609,747,343,404
S01007610,696,242,454
S01007611,896,285,611
S01007612,855,212,643
S01007613,839,413,426
S01007614,680,442,238
S01007615,1055,523,532
S01007616,773,323,450
S01007617,577,303,274
S01007618,702,396,306
S01007619,637,357,280
S01007620,710,479,231
S01007621,650,411,239
S01007622,692,437,255
S01007623,401,290,111
S01007624,594,377,217
S01007625,575,376,199
S01007626,381,216,165
S01007627,205,117,88
S01007628,709,432,277
S01007629,588,367,221
S01007630,667,429,238
S01007631,500,327,173
S01007632,1336,767,569
S01007633,1252,780,472
S01007634,540,345,195
S01007635,693,454,239
S01007636,1079,615,464
S01007637,1174,581,593
S01007638,906,449,457
S01007639,768,398,370
S01007640,495,272,223
S01007641,545,350,195
S01007642,927,522,405
S01007643,787,444,343
S01007644,703,410,293
S01007645,640,405,235
S01007646,573,317,256
S01007647,903,518,385
S01007648,926,508,418
S01007649,632,341,291
S01007650,873,512,361
S01007651,618,372,246
S01007652,653,359,294
S01007653,915,535,380
S01007654,1008,570,438
S01007655,626,393,233
S01007656,779,486,293
S01007657,532,309,223
S01007658,533,297,236
S01007659,804,473,331
S01007660,1072,566,506
S01007661,672,326,346
S01007662,858,364,494
S01007663,929,536,393
S01007664,479,214,265
S01007665,551,300,251
S01007666,247,162,85
S01007667,431,318,113
S01007668,1037,525,512
S01007669,475,187,288
S01007670,750,343,407
S01007671,581,342,239
S01007672,878,639,239
S01007673,547,346,201
S01007674,923,530,393
S01007675,569,365,204
S01007676,440,299,141
S01007677,119,84,35
S01007678,641,327,314
S01007679,728,364,364
S01007680,766,493,273
S01007681,456,251,205
S01007682,907,509,398
S01007683,1004,549,455
S01007684,1050,650,400
S01007685,1022,510,512
S01007686,980,487,493
S01007687,893,308,585
S01007688,1036,189,847
S01007689,604,119,485
S01007690,1218,252,966
S01007691,1918,179,1739
S01007692,893,160,733
S01007693,677,93,584
S01007694,374,43,331
S01007695,953,244,709
S01007696,792,160,632
S01007697,1144,318,826
S01007698,1008,194,814
S01007699,676,138,538
S01007700,815,405,410
S01007701,386,88,298
S01007702,304,54,250
S01007703,1025,380,645
S01007704,1176,283,893
S01007705,760,32,728
S01007706,729,46,683
S01007707,237,38,199
S01007708,953,291,662
S01007709,696,174,522
S01007710,1025,137,888
S01007711,1140,219,921
S01007712,889,188,701
S01007713,532,166,366
S01007714,528,219,309
S01007715,524,130,394
S01007716,1000,222,778
S01007717,765,169,596
S01007718,878,194,684
S01007719,1325,425,900
S01007720,998,531,467
S01007721,974,407,567
S01007722,843,258,585
S01007723,937,294,643
S01007724,599,121,478
S01007725,1152,360,792
S01007726,738,228,510
S01007727,643,132,511
S01007728,885,190,695
S01007729,783,179,604
S01007730,760,230,530
S01007731,421,107,314
S01007732,559,85,474
S01007733,748,410,338
S01007734,733,438,295
S01007735,714,419,295
S01007736,724,442,282
S01007737,842,373,469
S01007738,995,519,476
S01007739,695,325,370
S01007740,619,331,288
S01007741,790,363,427
S01007742,654,332,322
S01007743,770,325,445
S01007744,663,260,403
S01007745,846,312,534
S01007746,744,345,399
S01007747,693,259,434
S01007748,528,179,349
S01007749,808,523,285
S01007750,917,595,322
S01007751,693,429,264
S01007752,1046,584,462
S01007753,777,377,400
S01007754,1108,521,587
S01007755,690,304,386
S01007756,785,364,421
S01007757,1139,796,343
S01007758,1004,526,478
S01007759,1124,377,747
S01007760,882,542,340
S01007761,803,466,337
S01007762,720,250,470
S01007763,716,363,353
S01007764,805,553,252
