dz_2011,total,religious,nonreligious
S01007028,1507,959,548
S01007029,662,377,285
S01007030,1009,628,381
S01007031,630,348,282
S01007032,1165,682,483
S01007033,1060,588,472
S01007034,1057,579,478
S01007035,922,499,423
S01007036,1135,708,427
S01007037,1157,665,492
S01007038,854,426,428
S01007039,967,490,477
S01007040,1237,680,557
S01007041,925,498,427
S01007042,987,563,424
S01007043,1112,717,395
S01007044,1013,731,282
S01007045,948,593,355
S01007046,574,353,221
S01007047,1014,593,421
S01007048,1303,778,525
S01007049,1039,582,457
S01007050,1042,561,481
S01007051,1029,604,425
S01007052,573,302,271
S01007053,802,513,289
S01007054,1130,668,462
S01007055,515,324,191
S01007056,902,551,351
S01007057,833,517,316
S01007058,768,473,295
S01007059,1336,702,634
S01007060,604,282,322
S01007061,1155,629,526
S01007062,758,420,338
S01007063,1503,874,629
S01007064,762,449,313
S01007065,950,488,462
S01007066,648,334,314
S01007067,1290,775,515
S01007068,692,369,323
S01007069,997,481,516
S01007070,733,364,369
S01007071,1234,602,632
S01007072,1482,873,609
S01007073,1529,828,701
S01007074,1102,563,539
S01007075,901,395,506
S01007076,1048,525,523
S01007077,757,408,349
S01007078,964,531,433
S01007079,1226,703,523
S01007080,790,431,359
S01007081,1064,488,576
S01007082,699,313,386
S01007083,937,483,454
S01007084,911,595,316
S01007085,1118,626,492
S01007086,1385,736,649
S01007087,986,533,453
S01007088,651,290,361
S01007089,529,351,178
S01007090,540,266,274
S01007091,1388,762,626
S01007092,624,332,292
S01007093,987,627,360
S01007094,2273,1239,1034
S01007095,736,426,310
S01007096,1172,608,564
S01007097,2158,1184,974
S01007098,1650,915,735
S01007099,883,515,368
S01007100,868,534,334
S01007101,1358,794,564
S01007102,847,505,342
S01007103,832,565,267
S01007104,486,289,197
S01007105,655,436,219
S01007106,898,522,376
S01007107,766,512,254
S01007108,1249,765,484
S01007109,1526,906,620
S01007110,1052,596,456
S01007111,534,328,206
S01007112,928,634,294
S01007113,758,514,244
S01007114,888,565,323
S01007115,720,478,242
S01007116,1304,821,483
S01007117,553,391,162
S01007118,847,411,436
S01007119,964,479,485
S01007120,1163,563,600
S01007121,835,561,274
S01007122,594,349,245
S01007123,965,570,395
S01007124,1095,667,428
S01007125,867,494,373
S01007126,1090,593,497
S01007127,1030,624,406
S01007128,979,541,438
S01007129,956,597,359
S01007130,676,447,229
S01007131,1096,770,326
S01007132,700,474,226
S01007133,674,396,278
S01007134,860,557,303
S01007135,806,520,286
S01007136,661,424,237
S01007137,842,530,312
S01007138,957,619,338
S01007139,776,498,278
S01007140,1022,647,375
S01007141,1331,896,435
S01007142,201,120,81
S01007143,1174,696,478
S01007144,2358,1478,880
S01007145,892,613,279
S01007146,881,560,321
S01007147,830,554,276
S01007148,538,339,199
S01007149,850,610,240
S01007150,750,563,187
S01007151,1188,830,358
S01007152,787,486,301
S01007153,916,610,306
S01007154,1000,709,291
S01007155,715,457,258
S01007156,1127,641,486
S01007157,875,539,336
S01007158,1043,600,443
S01007159,933,514,419
S01007160,969,542,427
S01007161,1114,639,475
S01007162,608,318,290
S01007163,1019,603,416
S01007164,778,508,270
S01007165,987,603,384
S01007166,1096,696,400
S01007167,795,572,223
S01007168,965,666,299
S01007169,854,554,300
S01007170,744,463,281
S01007171,1048,696,352
S01007172,1330,810,520
S01007173,523,289,234
S01007174,1004,552,452
S01007175,922,561,361
S01007176,1078,624,454
S01007177,801,380,421
S01007178,1045,456,589
S01007179,1320,895,425
S01007180,1009,677,332
S01007181,1158,729,429
S01007182,1250,745,505
S01007183,1321,753,568
S01007184,1039,557,482
S01007185,979,506,473
S01007186,777,340,437
S01007187,804,431,373
S01007188,803,411,392
S01007189,910,514,396
S01007190,935,631,304
S01007191,735,384,351
S01007192,784,408,376
S01007193,893,445,448
S01007194,641,256,385
S01007195,1056,558,498
S01007196,974,359,615
S01007197,743,319,424
S01007198,532,232,300
S01007199,1091,481,610
S01007200,849,418,431
S01007201,1014,569,445
S01007202,735,386,349
S01007203,840,447,393
S01007204,1078,562,516
S01007205,843,483,360
S01007206,392,243,149
S01007207,1048,619,429
S01007208,990,466,524
S01007209,833,439,394
S01007210,1067,521,546
S01007211,967,512,455
S01007212,847,473,374
S01007213,912,562,350
S01007214,1074,602,472
S01007215,984,559,425
S01007216,791,442,349
S01007217,1186,637,549
S01007218,992,597,395
S01007219,1097,594,503
S01007220,787,420,367
S01007221,1105,634,471
S01007222,1100,656,444
S01007223,714,402,312
S01007224,742,449,293
S01007225,1206,672,534
S01007226,1027,594,433
S01007227,1533,906,627
S01007228,819,547,272
S01007229,1249,783,466
S01007230,1291,781,510
S01007231,818,473,345
S01007232,726,386,340
S01007233,788,460,328
S01007234,630,396,234
S01007235,1078,656,422
S01007236,1094,701,393
S01007237,779,535,244
S01007238,1007,671,336
S01007239,1422,943,479
S01007240,539,342,197
S01007241,1174,820,354
S01007242,1158,780,378
S01007243,1415,931,484
S01007244,721,453,268
S01007245,776,516,260
S01007246,891,562,329
S01007247,1082,639,443
S01007248,1060,720,340
S01007249,609,435,174
S01007250,822,493,329
S01007251,893,540,353
S01007252,925,568,357
S01007253,798,577,221
S01007254,948,606,342
S01007255,1038,544,494
S01007256,935,521,414
S01007257,894,485,409
S01007258,886,552,334
S01007259,1048,575,473
S01007260,1218,609,609
S01007261,1051,726,325
S01007262,712,432,280
S01007263,1142,767,375
S01007264,869,612,257
S01007265,1216,752,464
S01007266,823,545,278
S01007267,610,408,202
S01007268,596,364,232
S01007269,667,447,220
S01007270,457,303,154
S01007271,1146,728,418
S01007272,1141,624,517
S01007273,760,432,328
S01007274,905,552,353
S01007275,729,502,227
S01007276,1159,766,393
S01007277,919,615,304
S01007278,941,624,317
S01007279,674,441,233
S01007280,676,465,211
S01007281,1181,772,409
S01007282,538,362,176
S01007283,1023,721,302
S01007284,848,610,238
S01007285,1145,673,472
S01007286,1464,868,596
S01007287,616,413,203
S01007288,667,398,269
S01007289,1011,709,302
S01007290,1136,735,401
S01007291,637,450,187
S01007292,771,576,195
S01007293,1080,759,321
S01007294,1054,758,296
S01007295,677,497,180
S01007296,563,368,195
S01007297,1176,799,377
S01007298,532,390,142
S01007299,1008,706,302
S01007300,668,461,207
S01007301,870,628,242
S01007302,796,598,198
S01007303,1117,749,368
S01007304,693,487,206
S01007305,1008,693,315
S01007306,1252,853,399
S01007307,1088,672,416
S01007308,882,610,272
S01007309,815,488,327
S01007310,865,508,357
S01007311,926,641,285
S01007312,862,580,282
S01007313,972,547,425
S01007314,875,533,342
S01007315,940,650,290
S01007316,1141,772,369
S01007317,1153,748,405
S01007318,607,371,236
S01007319,857,587,270
S01007320,894,596,298
S01007321,595,398,197
S01007322,836,576,260
S01007323,449,347,102
S01007324,328,210,118
S01007325,833,549,284
S01007326,970,695,275
S01007327,886,603,283
S01007328,1077,797,280
S01007329,702,507,195
S01007330,778,581,197
S01007331,1082,862,220
S01007332,624,501,123
S01007333,1123,818,305
S01007334,995,668,327
S01007335,898,658,240
S01007336,762,472,290
S01007337,658,494,164
S01007338,1084,803,281
S01007339,854,664,190
S01007340,664,495,169
S01007341,853,629,224
S01007342,826,562,264
S01007343,651,470,181
S01007344,579,421,158
S01007345,691,442,249
S01007346,834,587,247
S01007347,1056,773,283
S01007348,802,503,299
S01007349,687,441,246
S01007350,661,456,205
S01007351,658,445,213
S01007352,498,336,162
S01007353,791,540,251
S01007354,786,552,234
S01007355,1326,898,428
S01007356,714,480,234
S01007357,803,564,239
S01007358,1442,930,512
S01007359,999,661,338
S01007360,906,628,278
S01007361,1043,760,283
S01007362,1162,801,361
S01007363,1008,694,314
S01007364,1093,654,439
S01007365,478,341,137
S01007366,550,377,173
S01007367,629,415,214
S01007368,659,439,220
S01007369,1138,714,424
S01007370,917,610,307
S01007371,958,620,338
S01007372,1250,854,396
S01007373,704,467,237
S01007374,810,499,311
S01007375,464,305,159
S01007376,1015,674,341
S01007377,664,451,213
S01007378,1716,1149,567
S01007379,925,580,345
S01007380,846,531,315
S01007381,512,371,141
S01007382,990,639,351
S01007383,749,497,252
S01007384,1075,743,332
S01007385,1228,872,356
S01007386,806,507,299
S01007387,864,614,250
S01007388,741,519,222
S01007389,763,454,309
S01007390,727,438,289
S01007391,664,488,176
S01007392,466,348,118
S01007393,1058,770,288
S01007394,702,487,215
S01007395,1111,738,373
S01007396,1049,647,402
S01007397,943,605,338
S01007398,821,512,309
S01007399,891,537,354
S01007400,845,572,273
S01007401,752,523,229
S01007402,700,507,193
S01007403,943,573,370
S01007404,579,439,140
S01007405,813,534,279
S01007406,1007,709,298
S01007407,1108,778,330
S01007408,862,577,285
S01007409,666,446,220
S01007410,952,535,417
S01007411,1062,538,524
S01007412,579,331,248
S01007413,997,606,391
S01007414,858,487,371
S01007415,853,447,406
S01007416,595,262,333
S01007417,220,124,96
S01007418,890,517,373
S01007419,1001,512,489
S01007420,4568,2759,1809
S01007421,1394,881,513
S01007422,794,511,283
S01007423,388,233,155
S01007424,787,516,271
S01007425,947,573,374
S01007426,821,449,372
S01007427,744,415,329
S01007428,1005,589,416
S01007429,928,523,405
S01007430,554,343,211
S01007431,710,486,224
S01007432,818,502,316
S01007433,1139,704,435
S01007434,589,289,300
S01007435,788,437,351
S01007436,990,517,473
S01007437,569,319,250
S01007438,673,391,282
S01007439,858,516,342
S01007440,767,468,299
S01007441,656,429,227
S01007442,866,555,311
S01007443,1039,693,346
S01007444,1549,974,575
S01007445,687,411,276
S01007446,728,430,298
S01007447,659,412,247
S01007448,1134,742,392
S01007449,1173,654,519
S01007450,1353,747,606
S01007451,623,406,217
S01007452,1435,789,646
S01007453,110,52,58
S01007454,512,232,280
S01007455,846,408,438
S01007456,1089,509,580
S01007457,1080,553,527
S01007458,811,479,332
S01007459,873,559,314
S01007460,922,506,416
S01007461,933,477,456
S01007462,1006,534,472
S01007463,1149,453,696
S01007464,1042,520,522
S01007465,785,295,490
S01007466,1145,588,557
S01007467,996,547,449
S01007468,1143,678,465
S01007469,611,338,273
S01007470,699,373,326
S01007471,479,278,201
S01007472,1077,539,538
S01007473,895,452,443
S01007474,755,435,320
S01007475,517,287,230
S01007476,738,483,255
S01007477,737,407,330
S01007478,1126,615,511
S01007479,435,231,204
S01007480,1324,695,629
S01007481,988,819,169
S01007482,668,523,145
S01007483,955,610,345
S01007484,842,575,267
S01007485,842,450,392
S01007486,860,479,381
S01007487,1195,775,420
S01007488,1194,845,349
S01007489,856,600,256
S01007490,1233,829,404
S01007491,1118,715,403
S01007492,685,505,180
S01007493,1109,704,405
S01007494,743,540,203
S01007495,844,644,200
S01007496,1185,814,371
S01007497,596,435,161
S01007498,1028,736,292
S01007499,842,561,281
S01007500,768,549,219
S01007501,680,502,178
S01007502,641,496,145
S01007503,1135,773,362
S01007504,1169,794,375
S01007505,538,305,233
S01007506,514,340,174
S01007507,1489,1075,414
S01007508,696,503,193
S01007509,720,504,216
S01007510,1014,732,282
S01007511,1149,798,351
S01007512,526,358,168
S01007513,1304,837,467
S01007514,645,465,180
S01007515,699,475,224
S01007516,818,516,302
S01007517,540,412,128
S01007518,1014,685,329
S01007519,497,344,153
S01007520,980,621,359
S01007521,677,420,257
S01007522,1136,788,348
S01007523,542,337,205
S01007524,951,662,289
S01007525,536,396,140
S01007526,903,605,298
S01007527,1426,972,454
S01007528,968,637,331
S01007529,867,563,304
S01007530,524,342,182
S01007531,767,480,287
S01007532,597,357,240
S01007533,876,507,369
S01007534,1451,907,544
S01007535,961,646,315
S01007536,1026,662,364
S01007537,1698,1110,588
S01007538,1123,695,428
S01007539,853,690,163
S01007540,838,574,264
S01007541,1233,862,371
S01007542,980,624,356
S01007543,1284,828,456
S01007544,1291,891,400
S01007545,1525,1046,479
S01007546,663,451,212
S01007547,551,339,212
S01007548,947,579,368
S01007549,765,500,265
S01007550,1233,837,396
S01007551,1310,854,456
S01007552,1042,631,411
S01007553,1059,631,428
S01007554,840,501,339
S01007555,818,570,248
S01007556,748,509,239
S01007557,1131,708,423
S01007558,482,328,154
S01007559,864,540,324
S01007560,1196,873,323
S01007561,1104,759,345
S01007562,854,528,326
S01007563,1106,714,392
S01007564,1271,842,429
S01007565,1153,737,416
S01007566,822,516,306
S01007567,588,433,155
S01007568,745,522,223
S01007569,1259,856,403
S01007570,1113,696,417
S01007571,539,370,169
S01007572,1778,1031,747
S01007573,84,54,30
S01007574,2322,1334,988
S01007575,860,458,402
S01007576,1025,467,558
S01007577,893,489,404
S01007578,834,410,424
S01007579,663,317,346
S01007580,993,489,504
S01007581,657,340,317
S01007582,873,516,357
S01007583,1318,702,616
S01007584,995,563,432
S01007585,1087,728,359
S01007586,1155,651,504
S01007587,819,554,265
S01007588,949,672,277
S01007589,1123,689,434
S01007590,661,458,203
S01007591,1178,772,406
S01007592,1143,731,412
S01007593,1200,831,369
S01007594,843,543,300
S01007595,1056,691,365
S01007596,715,482,233
S01007597,647,420,227
S01007598,1121,762,359
S01007599,840,536,304
S01007600,1066,748,318
S01007601,631,375,256
S01007602,958,600,358
S01007603,923,600,323
S01007604,1020,734,286
S01007605,1157,781,376
S01007606,614,413,201
S01007607,927,621,306
S01007608,971,645,326
S01007609,981,554,427
S01007610,730,451,279
S01007611,1147,681,466
S01007612,1044,555,489
S01007613,1013,584,429
S01007614,1112,726,386
S01007615,1375,906,469
S01007616,917,554,363
S01007617,671,378,293
S01007618,781,499,282
S01007619,736,452,284
S01007620,822,559,263
S01007621,898,626,272
S01007622,1331,914,417
S01007623,608,430,178
S01007624,741,466,275
S01007625,690,463,227
S01007626,650,345,305
S01007627,547,372,175
S01007628,881,628,253
S01007629,860,567,293
S01007630,813,598,215
S01007631,631,418,213
S01007632,1683,1063,620
S01007633,1550,1038,512
S01007634,803,529,274
S01007635,981,724,257
S01007636,1413,943,470
S01007637,1378,871,507
S01007638,1058,747,311
S01007639,1087,641,446
S01007640,724,477,247
S01007641,856,501,355
S01007642,1152,764,388
S01007643,1067,717,350
S01007644,1095,698,397
S01007645,897,608,289
S01007646,627,451,176
S01007647,1020,690,330
S01007648,1086,773,313
S01007649,741,523,218
S01007650,1062,705,357
S01007651,716,514,202
S01007652,895,616,279
S01007653,1159,803,356
S01007654,1299,914,385
S01007655,781,526,255
S01007656,936,631,305
S01007657,595,407,188
S01007658,689,466,223
S01007659,1055,667,388
S01007660,1289,767,522
S01007661,905,604,301
S01007662,1070,698,372
S01007663,1135,796,339
S01007664,578,383,195
S01007665,745,440,305
S01007666,510,371,139
S01007667,717,527,190
S01007668,1269,800,469
S01007669,642,346,296
S01007670,1146,663,483
S01007671,857,600,257
S01007672,1002,773,229
S01007673,700,467,233
S01007674,1149,760,389
S01007675,801,546,255
S01007676,572,404,168
S01007677,279,193,86
S01007678,823,548,275
S01007679,1045,599,446
S01007680,922,622,300
S01007681,519,371,148
S01007682,998,705,293
S01007683,1045,762,283
S01007684,1173,828,345
S01007685,1173,711,462
S01007686,1115,652,463
S01007687,952,505,447
S01007688,1211,580,631
S01007689,613,340,273
S01007690,1148,563,585
S01007691,4465,2312,2153
S01007692,1036,543,493
S01007693,1290,723,567
S01007694,990,514,476
S01007695,1031,620,411
S01007696,1033,580,453
S01007697,1329,762,567
S01007698,1312,740,572
S01007699,808,424,384
S01007700,990,601,389
S01007701,451,249,202
S01007702,2253,1116,1137
S01007703,1230,721,509
S01007704,1393,743,650
S01007705,1058,472,586
S01007706,1058,471,587
S01007707,1285,628,657
S01007708,1038,571,467
S01007709,825,483,342
S01007710,2214,1093,1121
S01007711,1342,673,669
S01007712,1066,562,504
S01007713,573,349,224
S01007714,643,411,232
S01007715,774,454,320
S01007716,1214,679,535
S01007717,1003,565,438
S01007718,963,583,380
S01007719,1534,935,599
S01007720,1091,759,332
S01007721,1085,686,399
S01007722,940,513,427
S01007723,1020,628,392
S01007724,805,423,382
S01007725,1343,771,572
S01007726,858,493,365
