"output_area","ALL PEOPLE AGED 16 - 74","Number of people aged 16 - 74: Large employers and higher managers","Number of people aged 16 - 74: Higher professional occupations","Number of people aged 16 - 74: Lower managerial and professional occupations","Number of people aged 16 - 74: Intermediate occupations","Number of people aged 16 - 74: Small employers and own account workers","Number of people aged 16 - 74: Lower supervisory and technical occupations","Number of people aged 16 - 74: Semi-routine occupations","Number of people aged 16 - 74: Routine occupations","Number of people aged 16 - 74: Never worked","Number of people aged 16 - 74: Long-term unemployed","Number of people aged 16 - 74: Full-time students","Number of people aged 16 - 74: Not classifiable for other reasons"
"60QC000149",89,8.99,7.87,20.22,13.48,1.12,3.37,2.25,0,2.25,0,3.37,37.08
"60QC000150",51,3.92,3.92,23.53,7.84,9.8,5.88,7.84,7.84,1.96,0,9.8,17.65
"60QC000151",19,0,0,5.26,NA,0,0,0,5.26,0,10.53,0,78.95
"60QC000152",90,7.78,2.22,23.33,16.67,5.56,7.78,14.44,0,0,0,5.56,16.67
"60QC000153",90,1.11,1.11,17.78,11.11,5.56,4.44,12.22,12.22,1.11,1.11,4.44,27.78
"60QC000154",95,0,5.26,24.21,11.58,4.21,5.26,8.42,7.37,0,3.16,7.37,23.16
"60QC000155",124,3.23,12.1,30.65,8.06,4.03,4.84,8.87,2.42,0.81,0,4.84,20.16
"60QC000156",82,2.44,4.88,10.98,7.32,4.88,2.44,14.63,13.41,1.22,1.22,4.88,31.71
"60QC000157",88,3.41,5.68,25,13.64,4.55,3.41,10.23,4.55,1.14,0,4.55,23.86
"60QC000158",51,0,3.92,11.76,5.88,5.88,15.69,7.84,9.8,1.96,1.96,5.88,29.41
"60QC000159",73,0,2.74,23.29,16.44,4.11,16.44,17.81,9.59,0,0,0,9.59
"60QC000160",93,3.23,2.15,35.48,11.83,8.6,1.08,5.38,4.3,2.15,0,1.08,24.73
"60QC000161",110,1.82,6.36,24.55,9.09,9.09,6.36,12.73,0.91,1.82,1.82,7.27,18.18
"60QC000162",77,0,3.9,10.39,10.39,3.9,6.49,6.49,5.19,2.6,1.3,2.6,46.75
"60QC000163",80,5,3.75,22.5,15,7.5,7.5,15,8.75,2.5,0,5,7.5
"60QC000164",75,1.33,2.67,18.67,13.33,6.67,16,8,8,0,0,4,21.33
"60QC000165",103,0.97,3.88,18.45,12.62,4.85,8.74,12.62,6.8,0,0.97,2.91,27.18
"60QC000166",103,0,0.97,20.39,10.68,0.97,4.85,17.48,8.74,0,0,3.88,32.04
"60QC000167",64,3.13,6.25,10.94,12.5,3.13,4.69,7.81,18.75,1.56,1.56,3.13,26.56
"60QC000168",58,0,5.17,15.52,1.72,3.45,5.17,10.34,12.07,0,0,8.62,37.93
"60QC000169",59,0,0,11.86,8.47,6.78,8.47,16.95,18.64,1.69,0,1.69,25.42
"60QC000170",45,4.44,2.22,17.78,4.44,0,2.22,8.89,2.22,6.67,0,0,51.11
"60QC000171",107,0.93,8.41,29.91,3.74,9.35,5.61,9.35,7.48,0.93,4.67,6.54,13.08
"60QC000172",111,3.6,6.31,28.83,14.41,3.6,7.21,9.01,5.41,0,0.9,8.11,12.61
"60QC000173",117,5.13,4.27,27.35,11.11,6.84,6.84,8.55,7.69,0.85,0.85,7.69,12.82
"60QC000174",55,0,1.82,16.36,14.55,10.91,5.45,5.45,7.27,1.82,0,3.64,32.73
"60QC000175",106,6.6,5.66,27.36,7.55,9.43,7.55,6.6,4.72,0.94,0.94,5.66,16.98
"60QC000176",94,1.06,1.06,12.77,10.64,6.38,14.89,13.83,9.57,4.26,1.06,6.38,18.09
"60QC000177",75,1.33,6.67,29.33,16,6.67,8,9.33,0,0,0,2.67,20
"60QC000178",110,3.64,7.27,21.82,11.82,5.45,9.09,8.18,6.36,1.82,0,9.09,15.45
"60QC000179",156,7.05,1.92,28.21,7.69,3.85,5.77,9.62,5.13,0.64,1.28,10.26,18.59
"60QC000180",104,0,5.77,23.08,11.54,8.65,9.62,7.69,8.65,0.96,0.96,16.35,6.73
"60QC000181",141,4.96,7.09,22.7,12.06,2.13,6.38,15.6,7.09,0,1.42,9.93,10.64
"60QC000182",84,1.19,3.57,29.76,8.33,2.38,7.14,13.1,11.9,1.19,1.19,3.57,16.67
"60QC000183",134,3.73,2.99,19.4,16.42,8.21,8.96,11.94,9.7,0,0,13.43,5.22
"60QC000184",133,3.76,5.26,31.58,9.02,5.26,4.51,8.27,7.52,0.75,0,12.78,11.28
"60QC000185",70,2.86,4.29,15.71,12.86,7.14,7.14,7.14,11.43,1.43,0,4.29,25.71
"60QC000186",92,3.26,4.35,19.57,10.87,7.61,13.04,3.26,3.26,3.26,0,6.52,25
"60QC000187",89,5.62,7.87,19.1,6.74,8.99,5.62,1.12,6.74,2.25,0,7.87,28.09
"60QC000188",64,4.69,6.25,20.31,6.25,6.25,4.69,7.81,4.69,0,0,4.69,34.38
"60QC000189",75,5.33,1.33,40,10.67,5.33,5.33,6.67,2.67,0,2.67,2.67,17.33
"60QC000190",96,5.21,2.08,26.04,6.25,3.13,7.29,8.33,10.42,2.08,1.04,7.29,20.83
"60QC000191",103,1.94,8.74,20.39,8.74,11.65,2.91,8.74,3.88,1.94,0.97,5.83,24.27
"60QC000192",70,4.29,7.14,31.43,7.14,7.14,8.57,4.29,1.43,2.86,1.43,5.71,18.57
"60QC000193",136,5.15,7.35,27.21,9.56,8.09,5.15,9.56,2.21,0,0.74,8.09,16.91
"60QC000194",68,1.47,5.88,20.59,14.71,5.88,4.41,8.82,8.82,0,0,11.76,17.65
"60QC000195",115,9.57,2.61,21.74,9.57,6.09,5.22,6.96,1.74,0.87,0.87,6.96,27.83
"60QC000196",100,3,2,26,11,4,9,14,1,0,1,11,18
"60QC000197",57,3.51,1.75,26.32,12.28,3.51,3.51,8.77,5.26,1.75,0,5.26,28.07
"60QC000198",105,6.67,4.76,22.86,8.57,4.76,6.67,6.67,2.86,0.95,0.95,12.38,21.9
"60QC000199",92,2.17,2.17,16.3,6.52,4.35,22.83,16.3,15.22,0,1.09,5.43,7.61
"60QC000200",51,0,0,21.57,5.88,1.96,21.57,5.88,21.57,1.96,1.96,3.92,13.73
"60QC000201",96,4.17,5.21,22.92,18.75,7.29,8.33,15.63,0,0,0,6.25,11.46
"60QC000202",86,0,1.16,11.63,9.3,3.49,10.47,20.93,24.42,1.16,0,5.81,11.63
"60QC000203",59,1.69,0,10.17,6.78,1.69,11.86,15.25,16.95,1.69,3.39,5.08,25.42
"60QC000204",67,2.99,0,13.43,13.43,8.96,4.48,13.43,5.97,2.99,2.99,2.99,28.36
"60QC000205",91,2.2,0,9.89,7.69,2.2,12.09,29.67,14.29,3.3,0,9.89,8.79
"60QC000206",99,0,3.03,20.2,13.13,7.07,6.06,15.15,8.08,0,3.03,3.03,21.21
"60QC000207",76,0,2.63,17.11,15.79,6.58,13.16,15.79,15.79,0,0,6.58,6.58
"60QC000208",69,1.45,0,7.25,5.8,7.25,13.04,18.84,23.19,1.45,1.45,11.59,8.7
"60QC000209",80,0,0,10,6.25,1.25,15,13.75,17.5,2.5,1.25,11.25,21.25
"60QC000210",67,0,0,11.94,14.93,4.48,7.46,19.4,17.91,0,1.49,4.48,17.91
"60QC000211",76,0,0,14.47,11.84,5.26,11.84,17.11,14.47,2.63,1.32,5.26,15.79
"60QC000212",84,1.19,0,13.1,13.1,4.76,4.76,17.86,15.48,2.38,1.19,3.57,22.62
"60QC000213",67,0,1.49,14.93,5.97,4.48,8.96,19.4,13.43,0,0,2.99,28.36
"60QC000214",68,0,1.47,13.24,8.82,1.47,14.71,19.12,10.29,0,0,2.94,27.94
"60QC000215",65,1.54,3.08,9.23,12.31,4.62,6.15,13.85,20,1.54,1.54,4.62,21.54
"60QC000216",71,1.41,2.82,8.45,5.63,5.63,9.86,22.54,14.08,1.41,0,1.41,26.76
"60QC000217",97,2.06,3.09,14.43,15.46,10.31,5.15,14.43,2.06,2.06,0,6.19,24.74
"60QC000218",110,4.55,0.91,30.91,11.82,4.55,6.36,10.91,6.36,1.82,0,7.27,14.55
"60QC000219",96,4.17,8.33,25,15.63,4.17,4.17,7.29,8.33,0,1.04,9.38,12.5
"60QC000220",110,1.82,1.82,9.09,2.73,1.82,10.91,22.73,20.91,2.73,2.73,6.36,16.36
"60QC000221",84,2.38,0,21.43,9.52,5.95,4.76,15.48,9.52,0,2.38,2.38,26.19
"60QC000222",93,1.08,1.08,9.68,7.53,4.3,8.6,13.98,19.35,3.23,1.08,10.75,19.35
"60QC000223",93,2.15,2.15,25.81,8.6,8.6,6.45,11.83,11.83,0,0,7.53,15.05
"60QC000224",97,2.06,2.06,19.59,10.31,5.15,9.28,15.46,11.34,0,1.03,11.34,12.37
"60QC000225",78,0,3.85,14.1,5.13,6.41,11.54,19.23,14.1,0,0,6.41,19.23
"60QC000226",55,1.82,5.45,10.91,9.09,3.64,9.09,20,10.91,0,1.82,5.45,21.82
"60QC000227",87,1.15,0,14.94,14.94,2.3,13.79,14.94,11.49,4.6,0,4.6,17.24
"60QC000228",75,0,4,8,9.33,2.67,4,14.67,6.67,5.33,4,10.67,30.67
"60QC000229",61,0,0,13.11,9.84,4.92,3.28,19.67,21.31,1.64,0,9.84,16.39
"60QC000230",96,1.04,6.25,26.04,7.29,5.21,7.29,10.42,14.58,1.04,0,4.17,16.67
"60QC000231",91,5.49,1.1,18.68,10.99,5.49,8.79,13.19,10.99,3.3,0,3.3,18.68
"60QC000232",76,3.95,3.95,25,7.89,5.26,3.95,7.89,6.58,0,0,11.84,23.68
"60QC000233",55,0,5.45,25.45,7.27,5.45,7.27,10.91,10.91,0,0,9.09,18.18
"60QC000234",61,1.64,0,13.11,4.92,6.56,6.56,8.2,11.48,1.64,1.64,6.56,37.7
"60QC000235",43,2.33,4.65,20.93,NA,11.63,9.3,4.65,6.98,2.33,0,9.3,27.91
"60QC000236",66,0,0,16.67,13.64,6.06,6.06,16.67,4.55,1.52,1.52,9.09,24.24
"60QC000237",82,1.22,3.66,24.39,17.07,6.1,10.98,15.85,2.44,1.22,0,6.1,10.98
"60QC000238",57,0,5.26,28.07,8.77,14.04,3.51,1.75,10.53,0,0,7.02,21.05
"60QC000239",102,1.96,3.92,20.59,10.78,8.82,7.84,6.86,6.86,1.96,0.98,10.78,18.63
"60QC000240",102,2.94,4.9,21.57,10.78,7.84,8.82,13.73,6.86,0.98,0.98,9.8,10.78
"60QC000241",58,1.72,1.72,27.59,5.17,12.07,1.72,12.07,6.9,1.72,0,10.34,18.97
"60QC000242",100,5,2,17,8,6,9,16,7,2,1,7,20
"60QC000243",96,4.17,8.33,19.79,12.5,6.25,8.33,8.33,2.08,0,0,6.25,23.96
"60QC000244",138,2.17,2.17,22.46,11.59,5.8,12.32,13.77,10.87,0.72,0,5.07,13.04
"60QC000245",79,2.53,6.33,15.19,13.92,8.86,10.13,8.86,8.86,1.27,0,1.27,22.78
"60QC000246",74,0,1.35,8.11,5.41,4.05,10.81,20.27,20.27,0,0,0,29.73
"60QC000247",121,0,3.31,9.09,6.61,5.79,5.79,20.66,18.18,7.44,0.83,4.96,17.36
"60QC000248",76,0,2.63,7.89,5.26,1.32,3.95,25,22.37,3.95,5.26,5.26,17.11
"60QC000249",81,2.47,0,11.11,9.88,9.88,6.17,20.99,9.88,4.94,0,7.41,17.28
"60QC000250",68,0,4.41,29.41,10.29,1.47,10.29,14.71,5.88,0,1.47,11.76,10.29
"60QC000251",75,2.67,0,12,4,12,5.33,12,13.33,0,4,5.33,29.33
"60QC000252",55,0,1.82,5.45,5.45,1.82,10.91,3.64,16.36,1.82,0,7.27,45.45
"60QC000253",45,0,0,20,6.67,4.44,8.89,20,17.78,0,2.22,8.89,11.11
"60QC000254",63,0,1.59,12.7,9.52,4.76,7.94,23.81,20.63,0,1.59,9.52,7.94
"60QC000255",51,0,0,9.8,7.84,11.76,19.61,5.88,9.8,0,3.92,3.92,27.45
"60QC000256",64,3.13,3.13,4.69,7.81,4.69,12.5,14.06,17.19,0,3.13,4.69,25
"60QC000257",80,1.25,2.5,10,5,15,12.5,10,16.25,6.25,5,3.75,12.5
"60QC000258",70,1.43,0,17.14,8.57,7.14,5.71,15.71,18.57,5.71,2.86,1.43,15.71
"60QC000259",73,1.37,5.48,19.18,4.11,10.96,10.96,15.07,10.96,2.74,1.37,4.11,13.7
"60QC000260",52,1.92,1.92,13.46,3.85,5.77,7.69,15.38,11.54,0,0,1.92,36.54
"60QC000261",56,0,7.14,12.5,14.29,8.93,5.36,12.5,8.93,3.57,1.79,5.36,19.64
"60QC000262",98,1.02,4.08,12.24,7.14,4.08,4.08,20.41,22.45,3.06,5.1,5.1,11.22
"60QC000263",59,0,0,16.95,8.47,3.39,6.78,16.95,10.17,1.69,0,8.47,27.12
"60QC000264",80,1.25,3.75,15,3.75,7.5,6.25,16.25,12.5,2.5,0,2.5,28.75
"60QC000265",70,5.71,2.86,8.57,5.71,10,8.57,20,10,0,4.29,5.71,18.57
"60QC000266",87,1.15,3.45,12.64,5.75,11.49,9.2,14.94,12.64,8.05,5.75,4.6,10.34
"60QC000267",64,1.56,3.13,14.06,4.69,7.81,6.25,7.81,7.81,4.69,3.13,1.56,37.5
"60QC000268",82,3.66,0,10.98,7.32,8.54,15.85,8.54,7.32,3.66,6.1,7.32,20.73
"60QC000269",37,0,0,NA,2.7,2.7,8.11,8.11,27.03,8.11,0,5.41,37.84
"60QC000270",62,0,0,11.29,1.61,11.29,12.9,22.58,17.74,1.61,6.45,3.23,11.29
"60QC000271",66,0,3.03,9.09,6.06,6.06,6.06,7.58,7.58,1.52,1.52,4.55,46.97
"60QC000272",72,0,0,12.5,5.56,5.56,4.17,18.06,5.56,2.78,2.78,2.78,40.28
"60QC000273",77,1.3,1.3,24.68,11.69,9.09,10.39,11.69,7.79,0,6.49,5.19,10.39
"60QC000274",54,1.85,1.85,5.56,5.56,9.26,7.41,16.67,16.67,3.7,7.41,9.26,14.81
"60QC000275",63,1.59,4.76,9.52,6.35,0,12.7,14.29,20.63,4.76,11.11,1.59,12.7
"60QC000276",48,2.08,0,10.42,6.25,12.5,8.33,6.25,12.5,6.25,6.25,0,29.17
"60QC000277",107,0.93,0.93,17.76,11.21,5.61,10.28,16.82,11.21,0.93,0.93,12.15,11.21
"60QC000278",97,1.03,7.22,20.62,13.4,6.19,12.37,9.28,9.28,1.03,0,4.12,15.46
"60QC000279",81,0,3.7,16.05,4.94,4.94,7.41,20.99,8.64,4.94,3.7,3.7,20.99
"60QC000280",64,0,0,3.13,1.56,3.13,4.69,20.31,14.06,18.75,3.13,6.25,25
"60QC000281",78,0,0,2.56,2.56,6.41,11.54,21.79,24.36,3.85,5.13,8.97,12.82
"60QC000282",50,0,0,8,6,2,14,12,16,0,4,4,34
"60QC000283",93,0,1.08,8.6,2.15,3.23,6.45,19.35,17.2,7.53,5.38,4.3,24.73
"60QC000284",67,0,1.49,7.46,2.99,5.97,4.48,17.91,20.9,8.96,2.99,11.94,14.93
"60QC000285",72,0,1.39,4.17,5.56,2.78,6.94,13.89,25,18.06,2.78,2.78,16.67
"60QC000286",130,0,1.54,10,6.92,6.15,7.69,16.15,19.23,2.31,2.31,6.15,21.54
"60QC000287",116,0,0.86,6.03,5.17,6.03,13.79,29.31,16.38,1.72,2.59,6.03,12.07
"60QC000288",69,0,0,15.94,8.7,4.35,7.25,18.84,18.84,10.14,2.9,4.35,8.7
"60QC000289",99,0,1.01,15.15,8.08,6.06,10.1,19.19,15.15,4.04,1.01,3.03,17.17
"60QC000290",43,0,2.33,18.6,4.65,4.65,16.28,16.28,6.98,4.65,0,6.98,18.6
"60QC000291",53,0,0,18.87,3.77,0,5.66,15.09,13.21,7.55,1.89,13.21,20.75
"60QC000292",38,2.63,2.63,2.63,5.26,0,10.53,5.26,28.95,10.53,7.89,10.53,13.16
"60QC000293",57,0,0,7.02,7.02,3.51,5.26,19.3,35.09,5.26,5.26,3.51,8.77
"60QC000294",89,1.12,1.12,14.61,2.25,2.25,5.62,17.98,13.48,7.87,5.62,6.74,21.35
"60QC000295",79,3.8,12.66,18.99,8.86,5.06,6.33,3.8,2.53,11.39,0,5.06,21.52
"60QC000296",106,4.72,2.83,27.36,7.55,7.55,9.43,6.6,0.94,0,0,7.55,25.47
"60QC000297",70,5.71,14.29,21.43,11.43,8.57,8.57,8.57,1.43,0,0,5.71,14.29
"60QC000298",113,4.42,1.77,23.01,7.08,12.39,7.96,16.81,6.19,1.77,0,8.85,9.73
"60QC000299",82,2.44,6.1,21.95,12.2,12.2,6.1,9.76,4.88,0,1.22,6.1,17.07
"60QC000300",85,1.18,3.53,21.18,12.94,14.12,4.71,14.12,11.76,0,0,4.71,11.76
"60QC000301",82,0,2.44,24.39,9.76,7.32,12.2,19.51,7.32,0,2.44,4.88,9.76
"60QC000302",103,3.88,7.77,21.36,13.59,13.59,8.74,5.83,6.8,0,0.97,7.77,9.71
"60QC000303",90,5.56,10,17.78,7.78,4.44,5.56,13.33,7.78,1.11,1.11,6.67,18.89
"60QC000304",94,2.13,3.19,24.47,15.96,8.51,7.45,8.51,4.26,0,0,4.26,21.28
"60QC000305",80,2.5,2.5,35,6.25,7.5,3.75,2.5,6.25,1.25,1.25,5,26.25
"60QC000306",74,0,6.76,18.92,2.7,6.76,5.41,9.46,1.35,0,0,6.76,41.89
"60QC000307",66,3.03,0,10.61,4.55,4.55,4.55,3.03,3.03,3.03,0,3.03,60.61
"60QC000308",78,0,1.28,8.97,7.69,1.28,17.95,15.38,17.95,2.56,6.41,3.85,16.67
"60QC000309",70,0,1.43,2.86,1.43,7.14,7.14,21.43,21.43,5.71,5.71,2.86,22.86
"60QC000310",88,3.41,2.27,18.18,14.77,3.41,2.27,10.23,6.82,1.14,2.27,3.41,31.82
"60QC000311",99,6.06,2.02,16.16,8.08,8.08,11.11,17.17,3.03,1.01,2.02,7.07,18.18
"60QC000312",55,0,1.82,18.18,7.27,1.82,5.45,18.18,12.73,3.64,5.45,5.45,20
"60QC000313",62,0,1.61,6.45,6.45,8.06,8.06,19.35,11.29,0,0,3.23,35.48
"60QC000314",86,0,2.33,8.14,8.14,4.65,15.12,17.44,13.95,1.16,3.49,5.81,19.77
"60QC000315",78,0,3.85,10.26,8.97,10.26,11.54,21.79,12.82,0,0,2.56,17.95
"60QC000316",86,1.16,0,13.95,10.47,1.16,5.81,23.26,16.28,3.49,0,4.65,19.77
"60QC000317",102,0.98,1.96,14.71,9.8,1.96,10.78,24.51,14.71,0.98,0.98,9.8,8.82
"60QC000318",78,0,0,11.54,6.41,6.41,14.1,23.08,15.38,0,3.85,5.13,14.1
"60QC000319",62,1.61,1.61,12.9,9.68,3.23,8.06,17.74,12.9,4.84,0,3.23,24.19
"60QC000320",128,0.78,3.91,21.88,4.69,3.91,7.03,10.94,18.75,0.78,0.78,8.59,17.97
"60QC000321",83,4.82,9.64,26.51,7.23,3.61,9.64,9.64,9.64,1.2,0,3.61,14.46
"60QC000322",206,1.94,1.94,23.3,16.02,5.34,7.77,10.68,4.37,2.91,0.49,8.25,16.99
"60QC000323",93,0,0,8.6,10.75,4.3,8.6,21.51,25.81,2.15,3.23,4.3,10.75
"60QC000324",86,0,0,5.81,8.14,4.65,4.65,22.09,22.09,3.49,2.33,6.98,19.77
"60QC000325",78,0,2.56,10.26,7.69,6.41,7.69,17.95,17.95,1.28,1.28,10.26,16.67
"60QC000326",57,1.75,3.51,3.51,10.53,0,5.26,5.26,12.28,1.75,3.51,5.26,47.37
"60QC000327",107,0.93,5.61,17.76,20.56,0.93,6.54,7.48,10.28,0,0.93,5.61,23.36
"60QC000328",46,0,2.17,6.52,2.17,6.52,8.7,8.7,6.52,2.17,4.35,6.52,45.65
"60QC000329",50,0,2,22,4,8,12,8,16,2,0,4,22
"60QC000330",101,0,0,6.93,1.98,2.97,8.91,24.75,22.77,4.95,0.99,7.92,17.82
"60QC000331",49,2.04,2.04,10.2,10.2,2.04,8.16,8.16,12.24,0,0,4.08,40.82
"60QC000332",67,13.43,2.99,23.88,8.96,2.99,5.97,14.93,2.99,1.49,0,5.97,16.42
"60QC000333",87,1.15,1.15,21.84,13.79,8.05,10.34,8.05,10.34,0,2.3,0,22.99
"60QC000334",75,4,2.67,16,10.67,8,13.33,5.33,5.33,2.67,4,5.33,22.67
"60QC000335",58,3.45,5.17,17.24,5.17,17.24,6.9,10.34,6.9,0,0,10.34,17.24
"60QC000336",47,0,0,23.4,10.64,17.02,6.38,4.26,6.38,2.13,0,4.26,25.53
"60QC000337",89,2.25,7.87,26.97,13.48,4.49,6.74,4.49,1.12,1.12,0,7.87,23.6
"60QC000338",86,1.16,3.49,12.79,4.65,5.81,10.47,10.47,16.28,4.65,1.16,2.33,26.74
"60QC000339",70,0,0,14.29,4.29,5.71,5.71,8.57,18.57,2.86,1.43,4.29,34.29
"60QC000340",59,3.39,1.69,15.25,6.78,8.47,8.47,11.86,13.56,3.39,1.69,1.69,23.73
"60QC000341",110,0.91,0.91,13.64,10,5.45,10,22.73,8.18,0.91,3.64,4.55,19.09
"60QC000342",65,1.54,0,13.85,4.62,1.54,7.69,20,16.92,1.54,4.62,1.54,26.15
"60QC000343",99,1.01,2.02,23.23,7.07,6.06,5.05,8.08,9.09,1.01,1.01,4.04,32.32
"60QC000344",130,3.08,0.77,13.85,6.92,0.77,18.46,17.69,13.85,1.54,0.77,7.69,14.62
"60QC000345",79,1.27,0,25.32,11.39,6.33,12.66,16.46,13.92,0,0,2.53,10.13
"60QC000346",59,1.69,5.08,8.47,10.17,6.78,10.17,18.64,8.47,3.39,1.69,6.78,18.64
"60QC000347",81,1.23,1.23,8.64,1.23,1.23,4.94,17.28,13.58,2.47,0,6.17,41.98
"60QC000348",57,0,0,10.53,3.51,3.51,8.77,14.04,14.04,1.75,0,1.75,42.11
"60QC000349",100,1,2,13,11,7,6,12,15,1,1,4,27
"60QC000350",82,1.22,0,13.41,9.76,4.88,12.2,13.41,12.2,1.22,2.44,6.1,23.17
"60QC000351",112,0.89,3.57,15.18,10.71,7.14,10.71,13.39,11.61,2.68,0.89,7.14,16.07
"60QC000352",109,0,0.92,11.93,8.26,6.42,5.5,14.68,22.94,3.67,1.83,4.59,19.27
"60QC000353",86,2.33,1.16,17.44,11.63,3.49,10.47,12.79,9.3,1.16,0,4.65,25.58
"60QC000354",55,1.82,0,10.91,10.91,1.82,12.73,12.73,9.09,5.45,1.82,7.27,25.45
"60QC000355",82,0,1.22,7.32,9.76,0,14.63,12.2,19.51,4.88,0,9.76,20.73
"60QC000356",66,1.52,0,9.09,4.55,6.06,9.09,6.06,34.85,3.03,3.03,4.55,18.18
"60QC000357",96,1.04,1.04,5.21,7.29,6.25,13.54,21.88,15.63,3.13,3.13,5.21,16.67
"60QC000358",46,0,0,8.7,8.7,4.35,10.87,30.43,21.74,0,0,4.35,10.87
"60QC000359",161,1.86,1.24,25.47,13.66,8.7,13.04,17.39,8.7,0.62,0.62,4.35,4.35
"60QC000360",128,0.78,0.78,12.5,7.03,1.56,11.72,15.63,21.09,0,2.34,12.5,14.06
"60QC000361",151,0.66,1.32,15.89,7.28,5.3,15.23,17.22,11.26,1.99,0,6.62,17.22
"60QC000362",153,1.31,1.31,20.92,8.5,2.61,12.42,15.69,13.07,1.31,1.31,6.54,15.03
"60QC000363",80,2.5,0,16.25,3.75,7.5,12.5,17.5,16.25,1.25,0,6.25,16.25
"60QC000364",121,0,0.83,6.61,9.92,1.65,9.09,28.93,14.88,7.44,3.31,7.44,9.92
"60QC000365",110,1.82,0.91,14.55,6.36,1.82,12.73,18.18,10.91,1.82,5.45,5.45,20
"60QC000366",108,0,1.85,4.63,5.56,0,13.89,17.59,11.11,9.26,5.56,11.11,19.44
"60QC000367",81,3.7,0,14.81,6.17,6.17,9.88,16.05,18.52,4.94,0,1.23,18.52
"60QC000368",76,0,0,13.16,6.58,3.95,10.53,13.16,23.68,5.26,0,0,23.68
"60QC000369",155,2.58,4.52,18.06,4.52,7.1,9.68,18.06,9.68,2.58,0.65,3.87,18.71
"60QC000370",112,0.89,0.89,12.5,5.36,5.36,10.71,23.21,15.18,2.68,0,7.14,16.07
"60QC000371",155,2.58,3.23,20,10.32,4.52,12.26,11.61,7.74,0.65,0,10.32,16.77
"60QC000372",127,0.79,0.79,20.47,5.51,7.87,6.3,12.6,9.45,2.36,0,5.51,28.35
"60QC000373",81,3.7,3.7,17.28,6.17,6.17,6.17,9.88,19.75,2.47,0,7.41,17.28
"60QC000374",67,0,1.49,7.46,7.46,4.48,10.45,11.94,25.37,1.49,0,11.94,17.91
"60QC000375",75,0,1.33,6.67,5.33,1.33,8,21.33,17.33,0,0,4,34.67
"60QC000376",115,1.74,0,8.7,6.09,2.61,6.09,13.91,23.48,0.87,0,8.7,27.83
"60QC000377",75,0,0,9.33,4,1.33,12,25.33,14.67,5.33,2.67,6.67,18.67
"60QC000378",120,0,0,14.17,9.17,4.17,11.67,13.33,12.5,3.33,3.33,6.67,21.67
"60QC000379",94,3.19,2.13,19.15,11.7,4.26,12.77,17.02,14.89,0,0,2.13,12.77
"60QC000380",77,1.3,1.3,7.79,2.6,3.9,6.49,18.18,27.27,6.49,0,2.6,22.08
"60QC000381",60,0,0,6.67,6.67,3.33,10,18.33,21.67,1.67,6.67,6.67,18.33
"60QC000382",42,2.38,0,16.67,4.76,4.76,7.14,23.81,11.9,0,0,9.52,19.05
"60QC000383",91,0,0,9.89,13.19,2.2,8.79,17.58,15.38,1.1,0,9.89,21.98
"60QC000384",104,0,0.96,6.73,1.92,4.81,7.69,15.38,16.35,3.85,1.92,4.81,35.58
"60QC000385",87,0,1.15,10.34,6.9,3.45,6.9,12.64,31.03,1.15,1.15,8.05,17.24
"60QC000386",121,0,0,9.92,6.61,4.96,10.74,27.27,18.18,2.48,0.83,6.61,12.4
"60QC000387",77,0,0,7.79,6.49,9.09,15.58,10.39,15.58,1.3,1.3,11.69,20.78
"60QC000388",123,0.81,0,8.94,7.32,4.07,9.76,13.82,19.51,2.44,3.25,8.94,21.14
"60QC000389",81,1.23,1.23,9.88,3.7,0,2.47,25.93,19.75,2.47,0,7.41,25.93
"60QC000390",89,1.12,1.12,10.11,2.25,3.37,12.36,17.98,16.85,10.11,3.37,6.74,14.61
"60QC000391",81,1.23,0,6.17,6.17,2.47,12.35,13.58,9.88,6.17,4.94,7.41,29.63
"60QC000392",78,0,1.28,8.97,3.85,2.56,5.13,17.95,14.1,10.26,0,8.97,26.92
"60QC000393",34,0,0,5.88,5.88,0,14.71,20.59,17.65,8.82,5.88,5.88,14.71
"60QC000394",43,0,0,NA,NA,4.65,9.3,18.6,18.6,6.98,0,6.98,34.88
"60QC000395",78,0,1.28,6.41,2.56,3.85,10.26,25.64,21.79,7.69,5.13,6.41,8.97
"60QC000396",77,2.6,1.3,5.19,5.19,6.49,6.49,19.48,20.78,3.9,2.6,3.9,22.08
"60QC000397",91,0,1.1,4.4,3.3,4.4,7.69,18.68,23.08,12.09,4.4,4.4,16.48
"60QC000398",80,0,0,6.25,7.5,5,13.75,23.75,27.5,2.5,3.75,1.25,8.75
"60QC000399",67,0,1.49,7.46,2.99,1.49,11.94,14.93,17.91,10.45,0,7.46,23.88
"60QC000400",102,0,1.96,9.8,8.82,1.96,16.67,31.37,8.82,2.94,2.94,3.92,10.78
"60QC000401",78,0,2.56,7.69,2.56,3.85,3.85,24.36,16.67,1.28,0,8.97,28.21
"60QC000402",84,1.19,0,13.1,8.33,2.38,14.29,22.62,11.9,2.38,0,3.57,20.24
"60QC000403",92,0,0,11.96,7.61,4.35,16.3,14.13,21.74,0,0,3.26,20.65
"60QC000404",35,0,0,5.71,11.43,0,5.71,8.57,5.71,8.57,0,2.86,51.43
"60QC000405",100,2,3,12,11,7,11,17,8,0,0,5,24
