dz_2001,total,good,not_good
S01000130,1557,1509,48
S01000131,622,607,15
S01000132,757,741,16
S01000133,878,826,52
S01000134,728,679,49
S01000135,687,648,39
S01000136,675,635,40
S01000137,967,931,36
S01000138,1373,1348,25
S01000139,790,743,47
S01000140,853,778,75
S01000141,826,802,24
S01000142,685,645,40
S01000143,618,598,20
S01000144,730,716,14
S01000145,815,747,68
S01000146,1537,1485,52
S01000147,1042,992,50
S01000148,605,561,44
S01000149,1180,1147,33
S01000150,619,583,36
S01000151,865,789,76
S01000152,1288,1239,49
S01000153,963,921,42
S01000154,524,482,42
S01000155,739,686,53
S01000156,1031,998,33
S01000157,691,634,57
S01000158,926,881,45
S01000159,976,963,13
S01000160,761,731,30
S01000161,915,903,12
S01000162,830,788,42
S01000163,1057,973,84
S01000164,929,892,37
S01000165,914,854,60
S01000166,1274,1256,18
S01000167,701,660,41
S01000168,975,904,71
S01000169,712,672,40
S01000170,1133,1104,29
S01000171,1079,1066,13
S01000172,471,461,10
S01000173,849,802,47
S01000174,900,884,16
S01000175,536,518,18
S01000176,762,749,13
S01000177,559,549,10
S01000178,774,733,41
S01000179,877,792,85
S01000180,663,622,41
S01000181,606,569,37
S01000182,916,849,67
S01000183,1362,1319,43
S01000184,742,720,22
S01000185,887,819,68
S01000186,950,879,71
S01000187,627,597,30
S01000188,1219,1138,81
S01000189,623,596,27
S01000190,835,776,59
S01000191,1223,1186,37
S01000192,810,763,47
S01000193,727,678,49
S01000194,872,829,43
S01000195,723,677,46
S01000196,1005,955,50
S01000197,587,552,35
S01000198,831,791,40
S01000199,853,802,51
S01000200,833,770,63
S01000201,622,571,51
S01000202,1015,976,39
S01000203,712,670,42
S01000204,577,534,43
S01000205,973,925,48
S01000206,704,677,27
S01000207,928,855,73
S01000208,1015,940,75
S01000209,1391,1334,57
S01000210,684,635,49
S01000211,747,688,59
S01000212,754,717,37
S01000213,740,687,53
S01000214,460,443,17
S01000215,1160,1137,23
S01000216,654,620,34
S01000217,810,767,43
S01000218,666,623,43
S01000219,851,802,49
S01000220,2648,2595,53
S01000221,840,771,69
S01000222,737,702,35
S01000223,607,587,20
S01000224,846,806,40
S01000225,576,562,14
S01000226,608,592,16
S01000227,1334,1315,19
S01000228,829,802,27
S01000229,822,773,49
S01000230,618,600,18
S01000231,694,681,13
S01000232,615,576,39
S01000233,496,463,33
S01000234,697,679,18
S01000235,837,804,33
S01000236,672,648,24
S01000237,816,799,17
S01000238,493,484,9
S01000239,691,673,18
S01000240,634,601,33
S01000241,599,591,8
S01000242,744,728,16
S01000243,649,633,16
S01000244,1139,1089,50
S01000245,959,932,27
S01000246,689,673,16
S01000247,655,643,12
S01000248,741,729,12
S01000249,650,628,22
S01000250,832,803,29
S01000251,465,461,4
S01000252,790,776,14
S01000253,651,649,2
S01000254,832,816,16
S01000255,586,572,14
S01000256,805,743,62
S01000257,917,874,43
S01000258,608,599,9
S01000259,611,603,8
S01000260,865,857,8
S01000261,900,878,22
S01000262,913,893,20
S01000263,820,798,22
S01000264,909,864,45
S01000265,712,681,31
S01000266,1248,1202,46
S01000267,720,688,32
S01000268,816,778,38
S01000269,628,614,14
S01000270,1031,998,33
S01000271,877,839,38
S01000272,1122,1106,16
S01000273,620,607,13
S01000274,678,649,29
S01000275,1435,1412,23
S01000276,786,765,21
S01000277,723,694,29
S01000278,577,545,32
S01000279,956,913,43
S01000280,761,735,26
S01000281,675,661,14
S01000282,750,736,14
S01000283,1090,1072,18
S01000284,1266,1250,16
S01000285,719,704,15
S01000286,916,889,27
S01000287,732,719,13
S01000288,807,794,13
S01000289,888,858,30
S01000290,822,789,33
S01000291,951,912,39
S01000292,1029,992,37
S01000293,843,800,43
S01000294,648,640,8
S01000295,538,524,14
S01000296,969,959,10
S01000297,729,703,26
S01000298,1131,1114,17
S01000299,1019,979,40
S01000300,759,747,12
S01000301,554,545,9
S01000302,630,617,13
S01000303,584,565,19
S01000304,829,820,9
S01000305,1040,1006,34
S01000306,790,775,15
S01000307,922,909,13
S01000308,1218,1201,17
S01000309,1203,1192,11
S01000310,946,933,13
S01000311,938,919,19
S01000312,539,523,16
S01000313,681,663,18
S01000314,551,535,16
S01000315,667,644,23
S01000316,901,869,32
S01000317,542,515,27
S01000318,549,540,9
S01000319,712,695,17
S01000320,671,656,15
S01000321,595,579,16
S01000322,996,984,12
S01000323,879,846,33
S01000324,835,819,16
S01000325,1291,1266,25
S01000326,805,776,29
S01000327,811,790,21
S01000328,534,523,11
S01000329,836,814,22
S01000330,1322,1309,13
S01000331,560,540,20
S01000332,745,721,24
S01000333,948,930,18
S01000334,903,870,33
S01000335,792,766,26
S01000336,1440,1410,30
S01000337,841,823,18
S01000338,495,476,19
S01000339,1236,1211,25
S01000340,1058,1043,15
S01000341,1009,981,28
S01000342,478,468,10
S01000343,584,571,13
S01000344,992,960,32
S01000345,626,616,10
S01000346,643,633,10
S01000347,1606,1578,28
S01000348,730,711,19
S01000349,537,525,12
S01000350,1082,1062,20
S01000351,939,923,16
S01000352,699,683,16
S01000353,508,495,13
S01000354,1576,1556,20
S01000355,615,608,7
S01000356,642,631,11
S01000357,580,574,6
S01000358,889,877,12
S01000359,836,824,12
S01000360,536,522,14
S01000361,678,666,12
S01000362,971,945,26
S01000363,1178,1159,19
S01000364,955,932,23
S01000365,2070,2028,42
S01000366,2125,2098,27
S01000367,845,831,14
S01000368,1286,1250,36
S01000369,938,918,20
S01000370,1511,1475,36
S01000371,927,907,20
S01000372,951,908,43
S01000373,667,654,13
S01000374,647,627,20
S01000375,612,578,34
S01000376,826,794,32
S01000377,852,838,14
S01000378,543,530,13
S01000379,655,644,11
S01000380,957,946,11
S01000381,1621,1594,27
S01000382,733,716,17
S01000383,1166,1143,23
S01000384,706,680,26
S01000385,622,601,21
S01000386,1260,1230,30
S01000387,871,849,22
S01000388,1083,1068,15
S01000389,861,854,7
S01000390,822,795,27
S01000391,726,687,39
S01000392,800,789,11
S01000393,891,853,38
S01000394,693,672,21
S01000395,800,775,25
S01000396,843,796,47
S01000397,938,904,34
S01000398,2417,2399,18
S01000399,598,582,16
S01000400,803,769,34
S01000401,904,881,23
S01000402,751,729,22
S01000403,787,764,23
S01000404,708,694,14
S01000405,522,510,12
S01000406,534,517,17
S01000407,595,574,21
S01000408,609,597,12
S01000409,579,571,8
S01000410,748,736,12
S01000411,702,690,12
S01000412,798,781,17
S01000413,871,849,22
S01000414,694,687,7
S01000415,927,899,28
S01000416,910,900,10
S01000417,1008,992,16
S01000418,718,697,21
S01000419,1523,1492,31
S01000420,1339,1303,36
S01000421,786,775,11
S01000422,947,925,22
S01000423,1026,1011,15
S01000424,743,713,30
S01000425,842,812,30
S01000426,826,809,17
S01000427,743,729,14
S01000428,666,654,12
S01000429,871,856,15
S01000430,501,486,15
S01000431,722,683,39
S01000432,881,848,33
S01000433,510,494,16
S01000434,602,582,20
S01000435,514,498,16
S01000436,629,621,8
S01000437,947,904,43
S01000438,594,584,10
S01000439,823,808,15
S01000440,1091,1074,17
S01000441,900,865,35
S01000442,843,824,19
S01000443,608,597,11
S01000444,2534,2513,21
S01000445,1201,1164,37
S01000446,951,930,21
S01000447,782,767,15
S01000448,859,841,18
S01000449,740,697,43
S01000450,553,536,17
S01000451,855,827,28
S01000452,573,561,12
S01000453,584,564,20
S01000454,443,429,14
S01000455,846,821,25
S01000456,1132,1096,36
S01000457,819,790,29
S01000458,930,909,21
S01000459,1013,982,31
S01000460,707,673,34
S01000461,865,827,38
S01000462,1034,977,57
S01000463,733,700,33
S01000464,848,815,33
S01000465,665,648,17
S01000466,880,856,24
S01000467,614,573,41
S01000468,535,519,16
S01000469,641,623,18
S01000470,1064,1017,47
S01000471,837,816,21
S01000472,759,737,22
S01000473,661,643,18
S01000474,625,611,14
S01000475,727,690,37
S01000476,627,604,23
S01000477,674,638,36
S01000478,790,741,49
S01000479,847,803,44
S01000480,670,641,29
S01000481,2138,2087,51
S01000482,896,843,53
S01000483,983,909,74
S01000484,805,767,38
S01000485,987,947,40
S01000486,1132,1076,56
S01000487,621,582,39
S01000488,624,575,49
S01000489,937,858,79
S01000490,540,528,12
S01000491,539,489,50
S01000492,951,901,50
S01000493,641,618,23
S01000494,551,511,40
S01000495,903,860,43
S01000496,529,522,7
S01000497,768,747,21
S01000498,520,510,10
S01000499,1020,978,42
S01000500,604,578,26
S01000501,577,543,34
S01000502,638,623,15
S01000503,494,477,17
S01000504,770,741,29
S01000505,727,695,32
S01000506,1024,1002,22
S01000507,995,947,48
S01000508,889,855,34
S01000509,1045,991,54
S01000510,665,638,27
S01000511,573,561,12
S01000512,990,965,25
S01000513,881,839,42
S01000514,941,917,24
S01000515,551,534,17
S01000516,883,854,29
S01000517,737,712,25
S01000518,963,922,41
S01000519,515,502,13
S01000520,1129,1087,42
S01000521,945,893,52
S01000522,665,637,28
S01000523,851,802,49
S01000524,706,666,40
S01000525,1047,999,48
S01000526,1000,957,43
S01000527,685,665,20
S01000528,946,906,40
S01000529,805,763,42
S01000530,486,461,25
S01000531,574,530,44
S01000532,788,758,30
S01000533,715,665,50
S01000534,760,724,36
S01000535,1020,955,65
S01000536,494,470,24
S01000537,1056,1020,36
S01000538,740,709,31
S01000539,990,939,51
S01000540,727,692,35
S01000541,592,563,29
S01000542,647,622,25
S01000543,832,796,36
S01000544,667,625,42
S01000545,755,726,29
S01000546,860,823,37
S01000547,543,506,37
S01000548,1085,1034,51
S01000549,1219,1190,29
S01000550,471,459,12
S01000551,892,850,42
S01000552,540,520,20
S01000553,888,850,38
S01000554,679,638,41
S01000555,860,803,57
S01000556,812,765,47
S01000557,913,875,38
S01000558,547,524,23
S01000559,668,626,42
S01000560,1086,1024,62
S01000561,1012,948,64
S01000562,847,776,71
S01000563,1145,1076,69
S01000564,927,870,57
S01000565,796,766,30
S01000566,867,811,56
S01000567,824,757,67
S01000568,526,494,32
S01000569,759,723,36
S01000570,892,851,41
S01000571,803,748,55
S01000572,711,684,27
S01000573,538,525,13
S01000574,750,696,54
S01000575,640,604,36
S01000576,542,517,25
S01000577,567,551,16
S01000578,633,600,33
S01000579,884,861,23
S01000580,956,941,15
S01000581,700,688,12
S01000582,648,624,24
S01000583,939,916,23
S01000584,840,797,43
S01000585,1224,1153,71
S01000586,722,693,29
S01000587,658,615,43
S01000588,576,548,28
S01000589,709,691,18
S01000590,846,801,45
S01000591,775,741,34
S01000592,875,830,45
S01000593,1555,1513,42
S01000594,1331,1278,53
S01000595,758,733,25
S01000596,795,772,23
S01000597,965,943,22
S01000598,1348,1320,28
S01000599,1145,1109,36
S01000600,776,752,24
S01000601,1232,1195,37
S01000602,743,700,43
S01000603,1022,986,36
S01000604,976,911,65
S01000605,813,781,32
S01000606,860,794,66
S01000607,752,721,31
S01000608,1195,1105,90
S01000609,1051,978,73
S01000610,804,742,62
S01000611,631,597,34
S01000612,1039,971,68
S01000613,1047,1000,47
S01000614,678,651,27
S01000615,809,727,82
S01000616,1442,1397,45
S01000617,665,634,31
S01000618,815,776,39
S01000619,708,689,19
S01000620,1169,1103,66
S01000621,1082,1022,60
S01000622,768,738,30
S01000623,769,732,37
S01000624,616,586,30
S01000625,641,598,43
S01000626,804,745,59
S01000627,849,807,42
S01000628,580,552,28
S01000629,911,881,30
S01000630,738,703,35
S01000631,612,583,29
S01000632,539,514,25
S01000633,523,514,9
S01000634,735,697,38
S01000635,643,618,25
S01000636,521,504,17
S01000637,648,631,17
S01000638,589,574,15
S01000639,641,620,21
S01000640,721,682,39
S01000641,814,787,27
S01000642,908,876,32
S01000643,675,646,29
S01000644,711,683,28
S01000645,980,932,48
S01000646,782,756,26
S01000647,777,745,32
S01000648,896,853,43
S01000649,596,571,25
S01000650,712,684,28
S01000651,886,850,36
S01000652,774,733,41
S01000653,994,930,64
S01000654,971,912,59
S01000655,792,744,48
S01000656,799,756,43
S01000657,816,753,63
S01000658,606,564,42
S01000659,1321,1262,59
S01000660,1026,1003,23
S01000661,822,795,27
S01000662,734,700,34
S01000663,811,791,20
S01000664,851,814,37
S01000665,669,630,39
S01000666,528,503,25
S01000667,987,943,44
S01000668,864,820,44
S01000669,827,784,43
S01000670,669,647,22
S01000671,590,559,31
S01000672,713,692,21
S01000673,721,697,24
S01000674,1080,1042,38
S01000675,714,693,21
S01000676,457,442,15
S01000677,877,838,39
S01000678,901,862,39
S01000679,779,742,37
S01000680,967,902,65
S01000681,990,943,47
S01000682,768,718,50
S01000683,546,529,17
S01000684,740,682,58
S01000685,912,864,48
S01000686,770,720,50
S01000687,827,783,44
S01000688,722,685,37
S01000689,648,622,26
S01000690,992,966,26
S01000691,808,773,35
S01000692,750,722,28
S01000693,1015,960,55
S01000694,701,661,40
S01000695,788,759,29
S01000696,774,740,34
S01000697,958,924,34
S01000698,620,600,20
S01000699,630,603,27
S01000700,806,772,34
S01000701,1017,991,26
S01000702,514,501,13
S01000703,739,708,31
S01000704,979,955,24
S01000705,1146,1108,38
S01000706,859,840,19
S01000707,625,607,18
S01000708,565,547,18
S01000709,1023,966,57
S01000710,1108,1073,35
S01000711,505,487,18
S01000712,621,596,25
S01000713,752,715,37
S01000714,986,929,57
S01000715,658,601,57
S01000716,535,494,41
S01000717,915,847,68
S01000718,810,760,50
S01000719,641,612,29
S01000720,778,739,39
S01000721,702,662,40
S01000722,846,813,33
S01000723,460,439,21
S01000724,784,732,52
S01000725,595,564,31
S01000726,760,729,31
S01000727,610,561,49
S01000728,651,616,35
S01000729,491,454,37
S01000730,457,429,28
S01000731,595,544,51
S01000732,543,499,44
S01000733,672,615,57
S01000734,826,787,39
S01000735,443,403,40
S01000736,740,696,44
S01000737,470,435,35
S01000738,449,420,29
S01000739,730,691,39
S01000740,658,603,55
S01000741,786,729,57
S01000742,642,624,18
S01000743,901,845,56
S01000744,740,697,43
S01000745,716,675,41
S01000746,786,742,44
S01000747,562,517,45
S01000748,465,399,66
S01000749,541,496,45
S01000750,687,639,48
S01000751,722,701,21
S01000752,977,895,82
S01000753,596,558,38
S01000754,787,749,38
S01000755,706,683,23
S01000756,1043,990,53
S01000757,770,726,44
S01000758,1286,1236,50
S01000759,985,900,85
S01000760,531,513,18
S01000761,606,562,44
S01000762,610,586,24
S01000763,747,727,20
S01000764,676,651,25
S01000765,825,813,12
S01000766,699,665,34
S01000767,642,583,59
S01000768,783,724,59
S01000769,787,746,41
S01000770,703,653,50
S01000771,943,910,33
S01000772,640,605,35
S01000773,826,788,38
S01000774,831,814,17
S01000775,810,776,34
S01000776,572,562,10
S01000777,325,315,10
S01000778,466,450,16
S01000779,793,777,16
S01000780,849,791,58
S01000781,806,787,19
S01000782,680,663,17
S01000783,464,448,16
S01000784,803,788,15
S01000785,714,659,55
S01000786,749,716,33
S01000787,498,469,29
S01000788,656,630,26
S01000789,742,710,32
S01000790,512,487,25
S01000791,607,582,25
S01000792,664,628,36
S01000793,675,649,26
S01000794,861,800,61
S01000795,940,908,32
S01000796,428,406,22
S01000797,449,433,16
S01000798,484,459,25
S01000799,1589,1557,32
S01000800,947,883,64
S01000801,635,623,12
S01000802,770,733,37
S01000803,972,949,23
S01000804,912,871,41
S01000805,803,764,39
S01000806,808,769,39
S01000807,769,732,37
S01000808,749,726,23
S01000809,616,591,25
S01000810,735,713,22
S01000811,798,781,17
S01000812,1347,1274,73
S01000813,771,744,27
S01000814,786,769,17
S01000815,520,485,35
S01000816,563,533,30
S01000817,916,867,49
S01000818,911,895,16
S01000819,882,830,52
S01000820,554,544,10
S01000821,854,828,26
S01000822,532,511,21
S01000823,502,480,22
S01000824,756,732,24
S01000825,739,716,23
S01000826,625,583,42
S01000827,736,719,17
S01000828,925,860,65
S01000829,693,673,20
S01000830,872,833,39
S01000831,848,818,30
S01000832,954,919,35
S01000833,1164,1116,48
S01000834,980,926,54
S01000835,774,706,68
S01000836,785,698,87
S01000837,984,896,88
S01000838,623,583,40
S01000839,1355,1298,57
S01000840,686,637,49
S01000841,988,891,97
S01000842,867,839,28
S01000843,910,868,42
S01000844,787,746,41
S01000845,540,520,20
S01000846,680,612,68
S01000847,974,890,84
S01000848,651,616,35
S01000849,479,456,23
S01000850,699,634,65
S01000851,714,687,27
S01000852,725,656,69
S01000853,554,503,51
S01000854,846,783,63
S01000855,716,674,42
S01000856,512,470,42
S01000857,507,481,26
S01000858,910,881,29
S01000859,1129,1086,43
S01000860,891,829,62
S01000861,643,604,39
S01000862,523,511,12
S01000863,542,507,35
S01000864,1172,1134,38
S01000865,1080,1008,72
S01000866,853,787,66
S01000867,895,811,84
S01000868,703,630,73
S01000869,595,555,40
S01000870,865,815,50
S01000871,818,765,53
S01000872,798,743,55
S01000873,3097,2948,149
S01000874,496,467,29
S01000875,1427,1392,35
S01000876,681,637,44
S01000877,675,624,51
S01000878,554,538,16
S01000879,945,910,35
S01000880,787,765,22
S01000881,642,597,45
S01000882,887,835,52
S01000883,813,774,39
S01000884,590,556,34
S01000885,480,464,16
S01000886,649,618,31
S01000887,723,700,23
S01000888,661,620,41
S01000889,686,645,41
S01000890,748,718,30
S01000891,924,891,33
S01000892,541,533,8
S01000893,625,610,15
S01000894,493,477,16
S01000895,916,889,27
S01000896,485,471,14
S01000897,680,630,50
S01000898,526,488,38
S01000899,829,765,64
S01000900,627,585,42
S01000901,605,559,46
S01000902,943,909,34
S01000903,1014,927,87
S01000904,696,635,61
S01000905,692,672,20
S01000906,536,509,27
S01000907,734,682,52
S01000908,751,731,20
S01000909,951,901,50
S01000910,842,786,56
S01000911,1034,998,36
S01000912,653,620,33
S01000913,611,579,32
S01000914,701,673,28
S01000915,900,848,52
S01000916,1046,976,70
S01000917,677,623,54
S01000918,551,504,47
S01000919,631,578,53
S01000920,597,574,23
S01000921,667,625,42
S01000922,965,918,47
S01000923,862,806,56
S01000924,861,781,80
S01000925,1005,953,52
S01000926,1010,945,65
S01000927,913,850,63
S01000928,980,918,62
S01000929,481,439,42
S01000930,540,492,48
S01000931,654,620,34
S01000932,1027,964,63
S01000933,1032,974,58
S01000934,903,832,71
S01000935,767,719,48
S01000936,856,805,51
S01000937,558,517,41
S01000938,783,732,51
S01000939,739,683,56
S01000940,902,863,39
S01000941,478,443,35
S01000942,1018,945,73
S01000943,830,799,31
S01000944,837,804,33
S01000945,739,706,33
S01000946,775,743,32
S01000947,687,628,59
S01000948,844,800,44
S01000949,610,580,30
S01000950,825,787,38
S01000951,861,814,47
S01000952,876,830,46
S01000953,874,830,44
S01000954,1116,1064,52
S01000955,627,595,32
S01000956,851,797,54
S01000957,542,529,13
S01000958,797,744,53
S01000959,700,672,28
S01000960,566,513,53
S01000961,843,788,55
S01000962,660,624,36
S01000963,843,776,67
S01000964,989,949,40
S01000965,642,603,39
S01000966,1086,1014,72
S01000967,578,529,49
S01000968,1056,1007,49
S01000969,908,832,76
S01000970,788,723,65
S01000971,729,682,47
S01000972,922,892,30
S01000973,660,634,26
S01000974,1227,1175,52
S01000975,647,626,21
S01000976,507,479,28
S01000977,921,868,53
S01000978,820,764,56
S01000979,703,675,28
S01000980,677,624,53
S01000981,686,663,23
S01000982,736,698,38
S01000983,534,493,41
S01000984,620,592,28
S01000985,714,672,42
S01000986,611,570,41
S01000987,637,611,26
S01000988,565,546,19
S01000989,813,774,39
S01000990,840,782,58
S01000991,435,414,21
S01000992,1095,1025,70
S01000993,843,775,68
S01000994,1104,1037,67
S01000995,778,765,13
S01000996,1122,1042,80
S01000997,891,854,37
S01000998,694,645,49
S01000999,650,636,14
S01001000,576,552,24
S01001001,551,523,28
S01001002,631,611,20
S01001003,828,800,28
S01001004,661,643,18
S01001005,844,815,29
S01001006,702,680,22
S01001007,917,859,58
S01001008,756,727,29
S01001009,614,589,25
S01001010,917,844,73
S01001011,588,572,16
S01001012,744,717,27
S01001013,895,837,58
S01001014,844,778,66
S01001015,515,476,39
S01001016,823,766,57
S01001017,858,790,68
S01001018,798,755,43
S01001019,1056,955,101
S01001020,548,515,33
S01001021,1022,979,43
S01001022,835,798,37
S01001023,999,952,47
S01001024,1862,1789,73
S01001025,1264,1221,43
S01001026,886,854,32
S01001027,906,873,33
S01001028,774,728,46
S01001029,754,689,65
S01001030,716,689,27
S01001031,957,907,50
S01001032,692,631,61
S01001033,724,672,52
S01001034,718,652,66
S01001035,509,476,33
S01001036,663,618,45
S01001037,860,795,65
S01001038,772,749,23
S01001039,539,517,22
S01001040,699,677,22
S01001041,682,655,27
S01001042,991,951,40
S01001043,664,638,26
S01001044,923,861,62
S01001045,656,628,28
S01001046,847,808,39
S01001047,864,824,40
S01001048,579,560,19
S01001049,630,586,44
S01001050,956,914,42
S01001051,638,591,47
S01001052,519,490,29
S01001053,773,734,39
S01001054,714,665,49
S01001055,858,802,56
S01001056,711,670,41
S01001057,639,599,40
S01001058,768,717,51
S01001059,660,630,30
S01001060,706,670,36
S01001061,741,710,31
S01001062,588,569,19
S01001063,884,857,27
S01001064,717,685,32
S01001065,756,725,31
S01001066,772,725,47
S01001067,781,742,39
S01001068,867,830,37
S01001069,856,816,40
S01001070,890,842,48
S01001071,707,683,24
S01001072,898,855,43
S01001073,1133,1077,56
S01001074,492,473,19
S01001075,926,870,56
S01001076,854,814,40
S01001077,930,879,51
S01001078,957,920,37
S01001079,554,535,19
S01001080,722,692,30
S01001081,629,580,49
S01001082,945,894,51
S01001083,813,764,49
S01001084,961,915,46
S01001085,833,774,59
S01001086,748,663,85
S01001087,476,408,68
S01001088,1009,929,80
S01001089,931,857,74
S01001090,885,868,17
S01001091,613,568,45
S01001092,1015,985,30
S01001093,875,844,31
S01001094,882,855,27
S01001095,1508,1489,19
S01001096,939,908,31
S01001097,673,657,16
S01001098,906,888,18
S01001099,1964,1886,78
S01001100,963,888,75
S01001101,1530,1499,31
S01001102,1393,1363,30
S01001103,701,684,17
S01001104,800,765,35
S01001105,801,777,24
S01001106,955,930,25
S01001107,948,877,71
S01001108,1679,1626,53
S01001109,1686,1634,52
S01001110,808,757,51
S01001111,1093,1041,52
S01001112,814,770,44
S01001113,1050,993,57
S01001114,907,809,98
S01001115,742,679,63
S01001116,702,632,70
S01001117,582,533,49
S01001118,522,489,33
S01001119,964,886,78
S01001120,649,609,40
S01001121,644,595,49
S01001122,687,663,24
S01001123,990,944,46
S01001124,624,572,52
S01001125,363,341,22
S01001126,845,805,40
S01001127,783,747,36
S01001128,644,625,19
S01001129,935,875,60
S01001130,762,716,46
S01001131,484,458,26
S01001132,695,649,46
S01001133,1062,1003,59
S01001134,853,832,21
S01001135,342,316,26
S01001136,1023,943,80
S01001137,1041,951,90
S01001138,1406,1342,64
S01001139,753,673,80
S01001140,977,889,88
S01001141,516,483,33
S01001142,899,864,35
S01001143,790,770,20
S01001144,711,671,40
S01001145,579,515,64
S01001146,778,748,30
S01001147,773,727,46
S01001148,733,707,26
S01001149,643,604,39
S01001150,770,717,53
S01001151,578,491,87
S01001152,928,824,104
S01001153,732,695,37
S01001154,738,725,13
S01001155,618,596,22
S01001156,772,740,32
S01001157,756,736,20
S01001158,591,540,51
S01001159,747,708,39
S01001160,545,496,49
S01001161,575,535,40
S01001162,821,797,24
S01001163,723,659,64
S01001164,629,566,63
S01001165,786,722,64
S01001166,280,255,25
S01001167,815,789,26
S01001168,764,725,39
S01001169,1125,1035,90
S01001170,819,744,75
S01001171,583,560,23
S01001172,583,521,62
S01001173,934,866,68
S01001174,648,605,43
S01001175,903,826,77
S01001176,857,804,53
S01001177,888,805,83
S01001178,792,701,91
S01001179,914,888,26
S01001180,689,626,63
S01001181,840,807,33
S01001182,895,840,55
S01001183,840,750,90
S01001184,853,832,21
S01001185,532,519,13
S01001186,709,682,27
S01001187,917,836,81
S01001188,773,702,71
S01001189,964,888,76
S01001190,683,659,24
S01001191,694,630,64
S01001192,952,828,124
S01001193,827,807,20
S01001194,884,852,32
S01001195,940,852,88
S01001196,960,859,101
S01001197,535,481,54
S01001198,744,685,59
S01001199,884,790,94
S01001200,1087,965,122
S01001201,667,626,41
S01001202,629,580,49
S01001203,766,675,91
S01001204,734,709,25
S01001205,723,688,35
S01001206,730,678,52
S01001207,754,693,61
S01001208,598,518,80
S01001209,547,535,12
S01001210,877,800,77
S01001211,1013,974,39
S01001212,590,528,62
S01001213,973,868,105
S01001214,705,623,82
S01001215,727,701,26
S01001216,889,821,68
S01001217,1147,1065,82
S01001218,812,794,18
S01001219,841,781,60
S01001220,505,466,39
S01001221,1429,1391,38
S01001222,1052,960,92
S01001223,701,665,36
S01001224,956,867,89
S01001225,919,883,36
S01001226,486,454,32
S01001227,707,674,33
S01001228,734,689,45
S01001229,696,661,35
S01001230,782,675,107
S01001231,634,578,56
S01001232,2408,2352,56
S01001233,959,868,91
S01001234,492,450,42
S01001235,848,794,54
S01001236,883,793,90
S01001237,552,532,20
S01001238,522,477,45
S01001239,603,550,53
S01001240,763,708,55
S01001241,606,574,32
S01001242,899,864,35
