dz_2001,total,scotland,ruk,elsewhere
S01000177,554,473,50,31
S01000178,760,712,39,9
S01000179,757,680,35,42
S01000180,693,655,32,6
S01000181,654,626,23,5
S01000182,873,838,30,5
S01000183,1000,720,131,149
S01000184,793,691,55,47
S01000185,787,686,59,42
S01000186,957,888,50,19
S01000187,713,673,31,9
S01000188,1079,768,176,135
S01000189,624,584,27,13
S01000190,887,824,45,18
S01000191,1057,910,83,64
S01000192,767,611,84,72
S01000193,802,762,30,10
S01000194,745,580,75,90
S01000195,697,625,51,21
S01000196,924,871,35,18
S01000197,610,583,19,8
S01000198,746,679,46,21
S01000199,716,605,49,62
S01000200,846,780,30,36
S01000201,654,610,18,26
S01000202,888,783,70,35
S01000203,453,348,37,68
S01000204,622,595,17,10
S01000205,960,675,168,117
S01000206,714,642,61,11
S01000207,883,768,54,61
S01000208,857,777,60,20
S01000209,987,892,67,28
S01000210,578,510,45,23
S01000211,713,612,53,48
S01000212,788,740,36,12
S01000213,672,610,45,17
S01000214,507,469,30,8
S01000215,736,588,98,50
S01000216,619,562,43,14
S01000217,698,625,44,29
S01000218,718,687,24,7
S01000219,698,592,53,53
S01000220,1399,868,273,258
S01000221,897,806,57,34
S01000222,758,711,32,15
S01000223,525,489,29,7
S01000224,768,730,29,9
S01000225,595,537,44,14
S01000226,618,529,65,24
S01000227,646,552,61,33
S01000228,660,590,52,18
S01000229,795,756,30,9
S01000230,678,606,48,24
S01000231,710,644,50,16
S01000232,669,619,27,23
S01000233,567,522,32,13
S01000234,762,685,55,22
S01000235,888,800,59,29
S01000236,680,620,42,18
S01000237,916,831,45,40
S01000238,516,454,40,22
S01000239,733,670,33,30
S01000240,721,678,31,12
S01000241,746,627,78,41
S01000242,690,438,40,212
S01000243,739,681,40,18
S01000244,1045,963,67,15
S01000245,953,852,84,17
S01000246,750,692,41,17
S01000247,767,701,55,11
S01000248,868,794,51,23
S01000249,738,629,79,30
S01000250,805,710,58,37
S01000251,501,423,51,27
S01000252,867,783,61,23
S01000253,745,664,43,38
S01000254,808,679,86,43
S01000255,632,577,40,15
S01000256,919,808,79,32
S01000257,826,756,56,14
S01000258,666,563,67,36
S01000259,614,558,39,17
S01000260,890,774,78,38
S01000261,1007,899,80,28
S01000262,946,829,76,41
S01000263,794,689,65,40
S01000264,1033,911,78,44
S01000265,778,733,29,16
S01000266,984,867,84,33
S01000267,691,628,43,20
S01000268,779,659,100,20
S01000269,561,425,119,17
S01000270,964,800,136,28
S01000271,906,684,181,41
S01000272,940,805,105,30
S01000273,524,417,92,15
S01000274,594,529,54,11
S01000275,982,891,71,20
S01000276,740,566,144,30
S01000277,674,558,99,17
S01000278,537,493,33,11
S01000279,613,509,89,15
S01000280,620,523,80,17
S01000281,679,551,108,20
S01000282,663,541,96,26
S01000283,881,684,165,32
S01000284,819,639,158,22
S01000285,672,528,128,16
S01000286,880,728,120,32
S01000287,724,556,133,35
S01000288,897,791,83,23
S01000289,849,727,92,30
S01000290,775,686,74,15
S01000291,831,705,107,19
S01000292,980,814,123,43
S01000293,765,632,103,30
S01000294,699,582,83,34
S01000295,607,512,82,13
S01000296,532,408,91,33
S01000297,736,626,88,22
S01000298,528,438,72,18
S01000299,953,623,251,79
S01000300,774,575,159,40
S01000301,579,436,118,25
S01000302,566,409,130,27
S01000303,485,330,118,37
S01000304,791,642,111,38
S01000305,1040,886,122,32
S01000306,746,523,159,64
S01000307,991,804,152,35
S01000308,991,755,173,63
S01000309,646,412,198,36
S01000310,899,780,86,33
S01000311,947,659,222,66
S01000312,646,486,103,57
S01000313,709,556,132,21
S01000314,572,492,63,17
S01000315,661,434,157,70
S01000316,800,657,117,26
S01000317,551,471,65,15
S01000318,577,387,157,33
S01000319,723,630,70,23
S01000320,722,630,69,23
S01000321,581,468,84,29
S01000322,1083,687,323,73
S01000323,888,738,120,30
S01000324,870,765,91,14
S01000325,618,549,57,12
S01000326,763,671,76,16
S01000327,898,785,79,34
S01000328,601,507,65,29
S01000329,546,473,48,25
S01000330,733,531,155,47
S01000331,621,497,104,20
S01000332,687,442,196,49
S01000333,841,560,183,98
S01000334,823,657,138,28
S01000335,652,548,75,29
S01000336,852,592,149,111
S01000337,690,480,172,38
S01000338,508,351,134,23
S01000339,1094,859,197,38
S01000340,971,800,125,46
S01000341,748,546,158,44
S01000342,387,333,45,9
S01000343,644,479,134,31
S01000344,894,675,179,40
S01000345,646,563,59,24
S01000346,683,588,74,21
S01000347,478,420,50,8
S01000348,816,691,80,45
S01000349,592,484,64,44
S01000350,1002,857,108,37
S01000351,1023,856,103,64
S01000352,798,694,78,26
S01000353,663,551,82,30
S01000354,648,490,93,65
S01000355,707,580,91,36
S01000356,611,455,118,38
S01000357,682,591,79,12
S01000358,1030,829,142,59
S01000359,856,607,192,57
S01000360,514,375,119,20
S01000361,614,497,91,26
S01000362,920,769,117,34
S01000363,960,761,168,31
S01000364,900,652,206,42
S01000365,677,603,50,24
S01000366,761,658,81,22
S01000367,753,625,107,21
S01000368,797,660,109,28
S01000369,975,812,117,46
S01000370,796,652,107,37
S01000371,931,804,105,22
S01000372,983,827,125,31
S01000373,588,469,89,30
S01000374,611,523,67,21
S01000375,646,567,70,9
S01000376,899,788,85,26
S01000377,721,524,153,44
S01000378,581,514,57,10
S01000379,574,432,108,34
S01000380,748,619,105,24
S01000381,884,738,111,35
S01000382,755,538,173,44
S01000383,655,579,59,17
S01000384,731,559,134,38
S01000385,574,489,74,11
S01000386,766,622,111,33
S01000387,853,757,74,22
S01000388,775,640,102,33
S01000389,667,574,70,23
S01000390,727,673,37,17
S01000391,636,570,50,16
S01000392,723,631,69,23
S01000393,857,761,75,21
S01000394,688,628,43,17
S01000395,588,461,107,20
S01000396,940,890,42,8
S01000397,1024,909,100,15
S01000398,749,548,157,44
S01000399,577,520,38,19
S01000400,705,638,52,15
S01000401,824,643,155,26
S01000402,709,628,63,18
S01000403,797,718,63,16
S01000404,756,666,71,19
S01000405,474,387,74,13
S01000406,629,570,45,14
S01000407,658,609,44,5
S01000408,513,445,56,12
S01000409,666,571,77,18
S01000410,664,441,181,42
S01000411,631,490,106,35
S01000412,787,671,101,15
S01000413,786,612,133,41
S01000414,721,588,103,30
S01000415,615,508,90,17
S01000416,670,593,54,23
S01000417,1005,889,95,21
S01000418,723,519,176,28
S01000419,672,522,119,31
S01000420,998,838,117,43
S01000421,601,445,134,22
S01000422,725,625,74,26
S01000423,904,741,135,28
S01000424,727,597,107,23
S01000425,695,542,126,27
S01000426,797,635,120,42
S01000427,785,674,91,20
S01000428,777,626,122,29
S01000429,782,716,46,20
S01000430,570,487,62,21
S01000431,693,619,60,14
S01000432,973,780,154,39
S01000433,468,420,41,7
S01000434,680,604,61,15
S01000435,555,517,33,5
S01000436,695,610,69,16
S01000437,1024,927,77,20
S01000438,698,582,99,17
S01000439,700,549,125,26
S01000440,868,710,114,44
S01000441,871,687,156,28
S01000442,808,627,150,31
S01000443,581,450,109,22
S01000444,573,455,102,16
S01000445,971,816,130,25
S01000446,946,689,223,34
S01000447,539,493,37,9
S01000448,622,463,128,31
S01000449,784,675,96,13
S01000450,645,538,98,9
S01000451,790,608,163,19
S01000452,561,454,90,17
S01000453,547,435,102,10
S01000454,493,435,54,4
S01000455,870,705,138,27
S01000456,718,559,140,19
S01000457,872,790,61,21
S01000458,853,631,198,24
S01000459,1037,938,76,23
S01000460,769,726,30,13
S01000461,863,781,57,25
S01000462,1035,931,80,24
S01000463,816,501,269,46
S01000464,741,528,191,22
S01000465,629,442,157,30
S01000466,799,604,167,28
S01000467,626,542,69,15
S01000468,520,376,127,17
S01000469,689,585,91,13
S01000470,1263,1090,149,24
S01000471,603,498,89,16
S01000472,836,742,72,22
S01000473,745,654,66,25
S01000474,648,472,162,14
S01000475,887,809,63,15
S01000476,581,463,102,16
S01000477,777,728,34,15
S01000478,869,799,50,20
S01000479,967,909,44,14
S01000480,665,561,87,17
S01000481,784,668,99,17
S01000482,837,722,87,28
S01000483,920,843,60,17
S01000484,806,712,77,17
S01000485,1080,1006,59,15
S01000486,798,691,87,20
S01000487,590,546,35,9
S01000488,703,646,50,7
S01000489,904,825,54,25
S01000490,541,481,49,11
S01000491,593,530,51,12
S01000492,954,861,66,27
S01000493,588,497,76,15
S01000494,566,518,43,5
S01000495,935,866,53,16
S01000496,587,512,59,16
S01000497,630,557,63,10
S01000498,548,498,44,6
S01000499,803,707,72,24
S01000500,675,608,61,6
S01000501,621,573,40,8
S01000502,540,429,97,14
S01000503,533,421,105,7
S01000504,708,645,49,14
S01000505,757,685,64,8
S01000506,654,531,108,15
S01000507,1087,1020,48,19
S01000508,877,654,200,23
S01000509,1058,989,50,19
S01000510,658,619,28,11
S01000511,556,464,83,9
S01000512,892,797,74,21
S01000513,862,714,117,31
S01000514,516,444,64,8
S01000515,484,394,79,11
S01000516,654,578,65,11
S01000517,651,542,97,12
S01000518,879,781,85,13
S01000519,476,373,94,9
S01000520,1010,788,203,19
S01000521,927,841,77,9
S01000522,612,463,129,20
S01000523,793,720,59,14
S01000524,647,511,114,22
S01000525,987,714,253,20
S01000526,966,763,164,39
S01000527,587,496,82,9
S01000528,843,673,155,15
S01000529,723,497,202,24
S01000530,477,397,60,20
S01000531,523,412,104,7
S01000532,809,724,76,9
S01000533,760,698,52,10
S01000534,813,762,38,13
S01000535,985,940,34,11
S01000536,519,389,118,12
S01000537,559,473,75,11
S01000538,789,731,51,7
S01000539,1028,889,109,30
S01000540,784,722,53,9
S01000541,552,499,45,8
S01000542,672,633,28,11
S01000543,814,784,22,8
S01000544,733,633,87,13
S01000545,717,641,62,14
S01000546,609,559,44,6
S01000547,544,498,37,9
S01000548,1012,891,105,16
S01000549,1136,1088,44,4
S01000550,557,543,11,3
S01000551,830,728,92,10
S01000552,554,532,20,2
S01000553,867,830,28,9
S01000554,791,744,38,9
S01000555,904,834,54,16
S01000556,880,838,36,6
S01000557,880,839,29,12
S01000558,564,523,32,9
S01000559,707,667,25,15
S01000560,1044,972,50,22
S01000561,1034,970,41,23
S01000562,909,858,39,12
S01000563,640,570,47,23
S01000564,860,774,66,20
S01000565,709,659,44,6
S01000566,759,689,52,18
S01000567,769,699,62,8
S01000568,542,485,46,11
S01000569,742,685,44,13
S01000570,939,830,74,35
S01000571,780,704,52,24
S01000572,800,718,64,18
S01000573,600,510,51,39
S01000574,814,722,63,29
S01000575,608,538,49,21
S01000576,654,565,67,22
S01000577,595,536,46,13
S01000578,706,630,58,18
S01000579,807,727,65,15
S01000580,681,560,83,38
S01000581,707,646,36,25
S01000582,728,668,43,17
S01000583,758,689,55,14
S01000584,781,692,59,30
S01000585,945,835,75,35
S01000586,775,664,84,27
S01000587,702,638,52,12
S01000588,627,561,44,22
S01000589,645,561,56,28
S01000590,773,659,89,25
S01000591,496,461,26,9
S01000592,924,804,88,32
S01000593,571,506,46,19
S01000594,655,594,41,20
S01000595,839,719,86,34
S01000596,945,826,93,26
S01000597,1065,947,96,22
S01000598,519,460,39,20
S01000599,775,701,49,25
S01000600,742,687,32,23
S01000601,1072,923,117,32
S01000602,679,629,41,9
S01000603,822,714,80,28
S01000604,1000,864,107,29
S01000605,871,774,68,29
S01000606,820,747,56,17
S01000607,784,691,84,9
S01000608,972,857,85,30
S01000609,1009,900,84,25
S01000610,773,683,63,27
S01000611,624,553,44,27
S01000612,995,881,90,24
S01000613,1004,886,88,30
S01000614,722,649,58,15
S01000615,764,670,82,12
S01000616,1220,823,347,50
S01000617,634,542,82,10
S01000618,827,740,66,21
S01000619,714,565,132,17
S01000620,819,731,79,9
S01000621,1009,937,53,19
S01000622,547,475,56,16
S01000623,780,720,46,14
S01000624,604,547,43,14
S01000625,629,582,36,11
S01000626,822,737,66,19
S01000627,931,839,77,15
S01000628,559,502,50,7
S01000629,662,567,78,17
S01000630,732,667,54,11
S01000631,637,584,44,9
S01000632,589,527,41,21
S01000633,632,547,64,21
S01000634,822,742,60,20
S01000635,678,616,55,7
S01000636,501,440,48,13
S01000637,595,524,57,14
S01000638,503,413,74,16
S01000639,606,521,78,7
S01000640,635,572,52,11
S01000641,785,673,91,21
S01000642,807,657,136,14
S01000643,609,521,73,15
S01000644,680,583,78,19
S01000645,898,740,133,25
S01000646,826,748,51,27
S01000647,877,803,52,22
S01000648,910,854,38,18
S01000649,582,469,98,15
S01000650,737,686,39,12
S01000651,806,715,59,32
S01000652,812,758,41,13
S01000653,909,842,46,21
S01000654,943,877,46,20
S01000655,797,731,37,29
S01000656,678,623,31,24
S01000657,760,710,26,24
S01000658,578,528,31,19
S01000659,1066,974,68,24
S01000660,974,870,72,32
S01000661,765,723,35,7
S01000662,530,476,45,9
S01000663,702,661,25,16
S01000664,774,683,74,17
S01000665,675,584,67,24
S01000666,493,423,58,12
S01000667,981,882,76,23
S01000668,909,837,51,21
S01000669,785,667,83,35
S01000670,566,513,43,10
S01000671,622,522,72,28
S01000672,628,541,65,22
S01000673,750,625,108,17
S01000674,984,823,117,44
S01000675,722,613,93,16
S01000676,501,428,58,15
S01000677,822,715,86,21
S01000678,942,841,80,21
S01000679,750,670,63,17
S01000680,778,685,76,17
S01000681,802,707,61,34
S01000682,644,544,60,40
S01000683,525,464,51,10
S01000684,687,630,37,20
S01000685,843,743,74,26
S01000686,703,602,68,33
S01000687,789,749,35,5
S01000688,792,700,71,21
S01000689,611,510,84,17
S01000690,787,709,67,11
S01000691,772,704,47,21
S01000692,753,702,41,10
S01000693,872,815,38,19
S01000694,724,648,61,15
S01000695,745,670,63,12
S01000696,731,658,58,15
S01000697,492,390,86,16
S01000698,642,597,32,13
S01000699,658,606,38,14
S01000700,879,777,84,18
S01000701,920,813,88,19
S01000702,522,474,38,10
S01000703,741,695,33,13
S01000704,880,754,102,24
S01000705,1146,985,121,40
S01000706,823,683,93,47
S01000707,537,422,98,17
S01000708,562,410,126,26
S01000709,888,748,104,36
S01000710,1083,856,190,37
S01000711,620,531,78,11
S01000712,595,529,53,13
S01000713,832,782,41,9
S01000714,832,726,87,19
S01000715,671,613,51,7
S01000716,541,470,50,21
S01000717,870,779,76,15
S01000718,952,883,51,18
S01000719,660,585,62,13
S01000720,858,655,186,17
S01000721,658,531,113,14
S01000722,819,743,61,15
S01000723,527,427,89,11
S01000724,862,786,57,19
S01000725,633,466,157,10
S01000726,687,519,153,15
S01000727,706,663,35,8
S01000728,768,629,118,21
S01000729,542,489,36,17
S01000730,407,363,29,15
S01000731,547,491,42,14
S01000732,536,478,53,5
S01000733,732,640,70,22
S01000734,851,682,131,38
S01000735,445,370,55,20
S01000736,720,632,75,13
S01000737,511,459,36,16
S01000738,579,488,69,22
S01000739,759,658,80,21
S01000740,673,507,144,22
S01000741,806,622,150,34
S01000742,541,431,92,18
S01000743,726,594,99,33
S01000744,733,634,77,22
S01000745,681,598,57,26
S01000746,738,656,59,23
S01000747,568,486,60,22
S01000748,514,461,42,11
S01000749,559,491,45,23
S01000750,694,587,79,28
S01000751,713,593,94,26
S01000752,992,872,87,33
S01000753,646,573,63,10
S01000754,650,570,60,20
S01000755,730,619,90,21
S01000756,1104,931,134,39
S01000757,694,587,76,31
S01000758,992,783,169,40
S01000759,861,716,110,35
S01000760,565,392,143,30
S01000761,492,317,156,19
S01000762,670,519,126,25
S01000763,861,597,210,54
S01000764,707,543,125,39
S01000765,671,327,322,22
S01000766,758,589,141,28
S01000767,596,521,66,9
S01000768,826,653,149,24
S01000769,956,755,165,36
S01000770,595,535,50,10
S01000771,983,700,222,61
S01000772,652,484,137,31
S01000773,962,775,159,28
S01000774,598,319,256,23
S01000775,704,504,149,51
S01000776,620,422,180,18
S01000777,555,283,250,22
S01000778,464,302,141,21
S01000779,793,544,222,27
S01000780,931,753,155,23
S01000781,877,586,251,40
S01000782,712,478,190,44
S01000783,506,324,164,18
S01000784,871,585,241,45
S01000785,734,528,160,46
S01000786,784,551,204,29
S01000787,526,379,127,20
S01000788,705,507,167,31
S01000789,653,553,86,14
S01000790,514,287,197,30
S01000791,630,546,75,9
S01000792,690,434,221,35
S01000793,812,728,63,21
S01000794,842,731,91,20
S01000795,771,681,76,14
S01000796,485,381,79,25
S01000797,476,374,91,11
S01000798,535,460,57,18
S01000799,2813,868,1787,158
S01000800,1004,729,238,37
S01000801,639,492,130,17
S01000802,754,567,162,25
S01000803,875,571,255,49
S01000804,985,758,198,29
S01000805,822,640,132,50
S01000806,838,517,284,37
S01000807,769,675,68,26
S01000808,725,463,217,45
S01000809,553,366,159,28
S01000810,630,450,141,39
S01000811,834,671,122,41
S01000812,662,591,54,17
S01000813,758,671,68,19
S01000814,919,834,69,16
S01000815,544,487,48,9
S01000816,584,483,79,22
S01000817,918,834,70,14
S01000818,696,575,97,24
S01000819,812,588,198,26
S01000820,573,334,211,28
S01000821,883,770,86,27
S01000822,554,497,45,12
S01000823,591,539,32,20
S01000824,554,458,88,8
S01000825,698,509,155,34
S01000826,730,649,67,14
S01000827,703,525,151,27
S01000828,879,653,196,30
S01000829,577,398,136,43
S01000830,715,470,216,29
S01000831,882,718,141,23
S01000832,926,655,228,43
S01000833,572,492,68,12
S01000834,911,835,61,15
S01000835,702,652,41,9
S01000836,847,784,51,12
S01000837,763,689,46,28
S01000838,723,664,43,16
S01000839,963,882,52,29
S01000840,773,722,40,11
S01000841,970,907,47,16
S01000842,834,734,74,26
S01000843,773,682,72,19
S01000844,689,619,56,14
S01000845,573,511,41,21
S01000846,739,689,35,15
S01000847,995,919,61,15
S01000848,699,637,49,13
S01000849,539,503,23,13
S01000850,657,595,43,19
S01000851,686,635,42,9
S01000852,717,673,26,18
S01000853,553,518,28,7
S01000854,933,873,47,13
S01000855,778,705,53,20
S01000856,626,582,30,14
S01000857,614,564,36,14
S01000858,717,654,57,6
S01000859,837,752,69,16
S01000860,873,837,21,15
S01000861,656,608,38,10
S01000862,559,525,22,12
S01000863,485,460,20,5
S01000864,668,605,52,11
S01000865,692,650,34,8
S01000866,944,893,40,11
S01000867,739,661,59,19
S01000868,718,679,24,15
S01000869,566,525,34,7
S01000870,872,795,46,31
S01000871,730,666,56,8
S01000872,650,571,60,19
S01000873,1341,1225,91,25
S01000874,545,516,25,4
S01000875,736,665,56,15
S01000876,744,666,63,15
S01000877,741,669,59,13
S01000878,588,516,63,9
S01000879,876,633,182,61
S01000880,778,674,89,15
S01000881,703,663,31,9
S01000882,939,851,71,17
S01000883,923,812,91,20
S01000884,569,497,49,23
S01000885,524,453,62,9
S01000886,734,637,69,28
S01000887,781,683,79,19
S01000888,724,644,61,19
S01000889,796,714,60,22
S01000890,796,719,60,17
S01000891,925,681,164,80
S01000892,586,365,173,48
S01000893,730,509,180,41
S01000894,523,460,53,10
S01000895,900,788,92,20
S01000896,485,325,131,29
S01000897,685,483,191,11
S01000898,576,429,135,12
S01000899,867,732,123,12
S01000900,657,465,183,9
S01000901,675,506,161,8
S01000902,979,730,215,34
S01000903,968,715,235,18
S01000904,689,535,135,19
S01000905,701,466,207,28
S01000906,565,459,88,18
S01000907,773,588,158,27
S01000908,773,619,132,22
S01000909,934,662,248,24
S01000910,870,716,139,15
S01000911,966,667,274,25
S01000912,754,572,164,18
S01000913,722,499,199,24
S01000914,855,496,322,37
S01000915,960,689,249,22
S01000916,991,768,205,18
S01000917,683,529,142,12
S01000918,643,449,167,27
S01000919,522,431,85,6
S01000920,505,381,111,13
S01000921,738,617,109,12
S01000922,818,629,173,16
S01000923,751,691,53,7
S01000924,841,752,71,18
S01000925,943,724,202,17
S01000926,650,591,48,11
S01000927,1010,929,66,15
S01000928,979,713,237,29
S01000929,511,463,39,9
S01000930,601,548,44,9
S01000931,708,624,81,3
S01000932,931,778,135,18
S01000933,870,781,73,16
S01000934,931,829,85,17
S01000935,808,677,108,23
S01000936,926,821,88,17
S01000937,586,530,44,12
S01000938,846,787,48,11
S01000939,740,616,109,15
S01000940,838,652,162,24
S01000941,542,481,50,11
S01000942,937,760,153,24
S01000943,845,729,106,10
S01000944,790,654,115,21
S01000945,760,656,93,11
S01000946,756,661,77,18
S01000947,730,649,60,21
S01000948,721,558,150,13
S01000949,613,436,155,22
S01000950,810,567,215,28
S01000951,708,597,92,19
S01000952,807,686,114,7
S01000953,906,713,178,15
S01000954,888,694,168,26
S01000955,527,361,154,12
S01000956,858,744,102,12
S01000957,511,298,188,25
S01000958,827,664,152,11
S01000959,688,511,160,17
S01000960,554,419,120,15
S01000961,853,732,101,20
S01000962,572,465,85,22
S01000963,744,419,316,9
S01000964,877,629,210,38
S01000965,665,586,70,9
S01000966,1080,959,113,8
S01000967,576,510,58,8
S01000968,956,708,208,40
S01000969,849,721,109,19
S01000970,793,438,347,8
S01000971,685,565,107,13
S01000972,977,481,468,28
S01000973,592,533,53,6
S01000974,848,686,145,17
S01000975,646,479,154,13
S01000976,494,329,158,7
S01000977,769,442,305,22
S01000978,755,590,148,17
S01000979,647,516,110,21
S01000980,752,593,143,16
S01000981,648,367,276,5
S01000982,595,444,140,11
S01000983,559,383,166,10
S01000984,635,469,148,18
S01000985,710,593,100,17
S01000986,525,355,164,6
S01000987,627,542,70,15
S01000988,488,364,113,11
S01000989,833,680,137,16
S01000990,636,516,80,40
S01000991,507,364,128,15
S01000992,908,781,101,26
S01000993,897,766,102,29
S01000994,1031,818,194,19
S01000995,831,740,74,17
S01000996,1030,832,144,54
S01000997,992,869,86,37
S01000998,621,549,52,20
S01000999,696,586,91,19
S01001000,531,460,51,20
S01001001,546,404,123,19
S01001002,673,592,65,16
S01001003,929,800,109,20
S01001004,653,545,87,21
S01001005,895,745,120,30
S01001006,771,657,91,23
S01001007,792,697,61,34
S01001008,737,615,94,28
S01001009,614,514,80,20
S01001010,780,670,85,25
S01001011,617,343,257,17
S01001012,845,753,65,27
S01001013,893,757,95,41
S01001014,794,650,91,53
S01001015,613,535,51,27
S01001016,956,706,224,26
S01001017,710,633,61,16
S01001018,783,690,74,19
S01001019,979,877,80,22
S01001020,523,471,35,17
S01001021,855,724,103,28
S01001022,828,677,123,28
S01001023,986,723,230,33
S01001024,881,785,75,21
S01001025,915,799,101,15
S01001026,823,632,180,11
S01001027,851,764,69,18
S01001028,783,719,53,11
S01001029,748,680,54,14
S01001030,741,574,144,23
S01001031,949,888,38,23
S01001032,733,670,49,14
S01001033,716,658,41,17
S01001034,823,744,59,20
S01001035,543,494,41,8
S01001036,538,483,45,10
S01001037,879,804,61,14
S01001038,669,576,73,20
S01001039,549,379,146,24
S01001040,613,486,108,19
S01001041,527,436,78,13
S01001042,865,752,95,18
S01001043,699,619,69,11
S01001044,991,679,279,33
S01001045,567,521,37,9
S01001046,499,448,44,7
S01001047,691,548,130,13
S01001048,624,549,61,14
S01001049,689,649,28,12
S01001050,942,463,464,15
S01001051,694,621,59,14
S01001052,567,527,26,14
S01001053,800,652,127,21
S01001054,666,580,74,12
S01001055,776,656,107,13
S01001056,747,666,65,16
S01001057,667,543,107,17
S01001058,771,678,79,14
S01001059,634,542,82,10
S01001060,766,699,62,5
S01001061,790,632,151,7
S01001062,547,446,89,12
S01001063,787,645,123,19
S01001064,773,593,160,20
S01001065,753,599,133,21
S01001066,732,539,168,25
S01001067,777,493,255,29
S01001068,857,514,297,46
