dz_2001,total,house,nonhouse
S01000339,1092,1061,31
S01000340,971,943,28
S01000341,713,708,5
S01000342,387,369,18
S01000343,609,590,19
S01000344,892,881,11
S01000345,646,614,32
S01000346,676,635,41
S01000347,478,473,5
S01000348,816,688,128
S01000349,592,494,98
S01000350,1002,970,32
S01000351,1023,924,99
S01000352,798,726,72
S01000353,663,625,38
S01000354,552,547,5
S01000355,707,702,5
S01000356,611,606,5
S01000357,682,676,6
S01000358,1030,1006,24
S01000359,856,856,0
S01000360,504,471,33
S01000361,614,596,18
S01000362,920,858,62
S01000363,960,953,7
S01000364,880,859,21
S01000365,677,670,7
S01000366,761,729,32
S01000367,748,701,47
S01000368,797,661,136
S01000369,975,945,30
S01000370,796,786,10
S01000371,921,876,45
S01000372,947,845,102
S01000373,588,568,20
S01000374,611,606,5
S01000375,646,633,13
S01000376,899,866,33
S01000377,721,684,37
S01000378,581,577,4
S01000379,574,559,15
S01000380,748,742,6
S01000381,866,805,61
S01000382,755,739,16
S01000383,655,631,24
S01000384,731,702,29
S01000385,574,449,125
S01000386,766,622,144
S01000387,853,809,44
S01000388,755,732,23
S01000389,667,655,12
S01000390,688,561,127
S01000391,597,440,157
S01000392,723,669,54
S01000393,824,697,127
S01000394,688,564,124
S01000395,588,566,22
S01000396,940,722,218
S01000397,1013,878,135
S01000398,745,718,27
S01000399,577,308,269
S01000400,705,459,246
S01000401,824,811,13
S01000402,709,652,57
S01000403,796,610,186
S01000404,756,697,59
S01000405,474,472,2
S01000406,629,305,324
S01000407,658,552,106
S01000408,513,508,5
S01000409,666,661,5
S01000410,664,654,10
S01000411,631,602,29
S01000412,787,746,41
S01000413,786,758,28
S01000414,721,703,18
S01000415,615,570,45
S01000416,670,652,18
S01000417,1005,947,58
S01000418,723,703,20
S01000419,672,662,10
S01000420,968,856,112
S01000421,601,591,10
S01000422,683,646,37
S01000423,904,894,10
S01000424,727,718,9
S01000425,695,674,21
S01000426,797,781,16
S01000427,785,472,313
S01000428,777,702,75
S01000429,782,766,16
S01000430,557,485,72
S01000431,658,432,226
S01000432,973,927,46
S01000433,468,393,75
S01000434,680,672,8
S01000435,555,544,11
S01000436,695,677,18
S01000437,972,861,111
S01000438,694,693,1
S01000439,700,694,6
S01000440,868,850,18
S01000441,871,816,55
S01000442,808,804,4
S01000443,581,576,5
S01000444,573,566,7
S01000445,971,934,37
S01000446,929,901,28
S01000447,539,533,6
S01000448,622,610,12
S01000449,754,714,40
S01000450,645,545,100
S01000451,790,770,20
S01000452,557,549,8
S01000453,528,518,10
S01000454,493,448,45
S01000455,870,838,32
S01000456,718,711,7
S01000457,823,673,150
S01000458,853,843,10
S01000459,1033,772,261
S01000460,769,734,35
S01000461,856,576,280
S01000462,993,872,121
S01000463,676,657,19
S01000464,741,736,5
S01000465,629,615,14
S01000466,799,785,14
S01000467,625,596,29
S01000468,520,512,8
S01000469,689,685,4
S01000470,974,961,13
S01000471,603,568,35
S01000472,836,826,10
S01000473,745,611,134
S01000474,648,645,3
S01000475,887,810,77
S01000476,556,542,14
S01000477,777,760,17
S01000478,869,597,272
S01000479,931,707,224
S01000480,665,650,15
S01000481,770,753,17
S01000482,771,317,454
S01000483,915,565,350
S01000484,806,318,488
S01000485,1080,1034,46
S01000486,796,169,627
S01000487,533,343,190
S01000488,703,648,55
S01000489,869,525,344
S01000490,541,500,41
S01000491,589,163,426
S01000492,954,667,287
S01000493,588,567,21
S01000494,566,409,157
S01000495,905,903,2
S01000496,587,574,13
S01000497,630,551,79
S01000498,548,539,9
S01000499,803,785,18
S01000500,675,667,8
S01000501,621,587,34
S01000502,518,511,7
S01000503,497,481,16
S01000504,708,466,242
S01000505,757,738,19
S01000506,620,608,12
S01000507,1087,885,202
S01000508,877,868,9
S01000509,1022,970,52
S01000510,658,635,23
S01000511,556,538,18
S01000512,892,826,66
S01000513,862,798,64
S01000514,516,508,8
S01000515,484,480,4
S01000516,654,627,27
S01000517,651,628,23
S01000518,876,835,41
S01000519,476,464,12
S01000520,988,945,43
S01000521,927,887,40
S01000522,612,600,12
S01000523,763,730,33
S01000524,647,634,13
S01000525,955,932,23
S01000526,933,905,28
S01000527,587,565,22
S01000528,736,731,5
S01000529,723,714,9
S01000530,477,467,10
S01000531,523,520,3
S01000532,764,622,142
S01000533,760,751,9
S01000534,813,792,21
S01000535,985,903,82
S01000536,519,499,20
S01000537,559,545,14
S01000538,782,705,77
S01000539,989,716,273
S01000540,784,668,116
S01000541,547,442,105
S01000542,672,606,66
S01000543,814,810,4
S01000544,733,678,55
S01000545,717,580,137
S01000546,609,555,54
S01000547,544,527,17
S01000548,1012,966,46
S01000549,1078,1068,10
S01000550,557,557,0
S01000551,791,676,115
S01000552,554,544,10
S01000553,867,865,2
S01000554,791,758,33
S01000555,868,803,65
S01000556,880,872,8
S01000557,880,872,8
S01000558,512,360,152
S01000559,655,550,105
S01000560,1043,960,83
S01000561,1034,571,463
S01000562,909,716,193
S01000563,640,309,331
S01000564,860,613,247
S01000565,709,617,92
S01000566,759,651,108
S01000567,769,729,40
S01000568,542,505,37
S01000569,742,668,74
S01000570,939,879,60
S01000571,770,324,446
S01000572,800,743,57
S01000573,600,600,0
S01000574,786,638,148
S01000575,608,549,59
S01000576,654,644,10
S01000577,566,482,84
S01000578,706,693,13
S01000579,687,677,10
S01000580,681,675,6
S01000581,707,685,22
S01000582,728,689,39
S01000583,758,744,14
S01000584,781,546,235
S01000585,945,755,190
S01000586,775,756,19
S01000587,702,669,33
S01000588,604,520,84
S01000589,641,590,51
S01000590,731,613,118
S01000591,496,456,40
S01000592,909,892,17
S01000593,571,551,20
S01000594,580,574,6
S01000595,839,736,103
S01000596,945,938,7
S01000597,1065,1062,3
S01000598,519,481,38
S01000599,775,682,93
S01000600,741,736,5
S01000601,987,936,51
S01000602,679,639,40
S01000603,822,813,9
S01000604,967,949,18
S01000605,791,709,82
S01000606,776,272,504
S01000607,782,710,72
S01000608,972,399,573
S01000609,1005,508,497
S01000610,773,245,528
S01000611,624,370,254
S01000612,995,507,488
S01000613,997,667,330
S01000614,690,585,105
S01000615,764,362,402
S01000616,924,830,94
S01000617,634,624,10
S01000618,786,773,13
S01000619,714,592,122
S01000620,819,380,439
S01000621,999,695,304
S01000622,547,351,196
S01000623,780,746,34
S01000624,604,535,69
S01000625,629,276,353
S01000626,822,288,534
S01000627,931,811,120
S01000628,559,400,159
S01000629,585,574,11
S01000630,732,587,145
S01000631,637,408,229
S01000632,589,587,2
S01000633,632,609,23
S01000634,822,685,137
S01000635,678,669,9
S01000636,499,496,3
S01000637,595,589,6
S01000638,481,477,4
S01000639,606,581,25
S01000640,635,623,12
S01000641,781,739,42
S01000642,794,759,35
S01000643,609,585,24
S01000644,680,669,11
S01000645,854,828,26
S01000646,826,783,43
S01000647,877,769,108
S01000648,910,751,159
S01000649,582,575,7
S01000650,737,624,113
S01000651,783,465,318
S01000652,778,688,90
S01000653,884,630,254
S01000654,912,574,338
S01000655,797,397,400
S01000656,678,387,291
S01000657,723,406,317
S01000658,578,214,364
S01000659,1066,896,170
S01000660,917,879,38
S01000661,751,503,248
S01000662,530,524,6
S01000663,681,581,100
S01000664,774,740,34
S01000665,675,644,31
S01000666,493,489,4
S01000667,960,816,144
S01000668,909,468,441
S01000669,785,525,260
S01000670,566,421,145
S01000671,589,487,102
S01000672,628,528,100
S01000673,750,748,2
S01000674,959,810,149
S01000675,722,720,2
S01000676,486,467,19
S01000677,822,518,304
S01000678,942,769,173
S01000679,750,277,473
S01000680,778,378,400
S01000681,790,171,619
S01000682,584,168,416
S01000683,525,347,178
S01000684,685,182,503
S01000685,807,540,267
S01000686,703,385,318
S01000687,789,708,81
S01000688,748,573,175
S01000689,611,603,8
S01000690,787,755,32
S01000691,772,631,141
S01000692,746,321,425
S01000693,872,470,402
S01000694,724,602,122
S01000695,745,561,184
S01000696,731,324,407
S01000697,492,411,81
S01000698,642,447,195
S01000699,623,527,96
S01000700,879,843,36
S01000701,861,806,55
S01000702,522,446,76
S01000703,741,636,105
S01000704,779,767,12
S01000705,1076,1017,59
S01000706,810,769,41
S01000707,537,525,12
S01000708,557,534,23
S01000709,864,801,63
S01000710,1075,1046,29
S01000711,620,578,42
S01000712,576,410,166
S01000713,832,804,28
S01000714,832,804,28
S01000715,651,313,338
S01000716,502,66,436
S01000717,870,330,540
S01000718,952,678,274
S01000719,643,461,182
S01000720,850,831,19
S01000721,658,637,21
S01000722,819,735,84
S01000723,527,515,12
S01000724,842,731,111
S01000725,618,567,51
S01000726,686,659,27
S01000727,680,483,197
S01000728,768,624,144
S01000729,542,376,166
S01000730,407,151,256
S01000731,547,216,331
S01000732,536,143,393
S01000733,732,123,609
S01000734,788,534,254
S01000735,445,125,320
S01000736,720,339,381
S01000737,511,211,300
S01000738,579,374,205
S01000739,759,474,285
S01000740,669,502,167
S01000741,806,519,287
S01000742,525,490,35
S01000743,657,539,118
S01000744,733,330,403
S01000745,681,373,308
S01000746,738,500,238
S01000747,554,327,227
S01000748,498,297,201
S01000749,559,507,52
S01000750,694,524,170
S01000751,713,646,67
S01000752,992,681,311
S01000753,646,411,235
S01000754,626,319,307
S01000755,723,678,45
S01000756,995,650,345
S01000757,666,580,86
S01000758,971,876,95
S01000759,861,639,222
S01000760,565,431,134
S01000761,492,325,167
S01000762,670,669,1
S01000763,858,826,32
S01000764,700,567,133
S01000765,671,663,8
S01000766,728,438,290
S01000767,596,199,397
S01000768,826,100,726
S01000769,955,51,904
S01000770,595,406,189
S01000771,923,505,418
S01000772,650,359,291
S01000773,930,677,253
S01000774,598,588,10
S01000775,610,439,171
S01000776,620,609,11
S01000777,555,518,37
S01000778,448,347,101
S01000779,793,567,226
S01000780,931,815,116
S01000781,877,760,117
S01000782,712,711,1
S01000783,506,394,112
S01000784,830,757,73
S01000785,717,614,103
S01000786,784,579,205
S01000787,526,508,18
S01000788,705,569,136
S01000789,632,418,214
S01000790,470,427,43
S01000791,628,543,85
S01000792,690,611,79
S01000793,707,625,82
S01000794,842,511,331
S01000795,768,674,94
S01000796,481,456,25
S01000797,476,461,15
S01000798,535,511,24
S01000799,515,445,70
S01000800,967,877,90
S01000801,639,625,14
S01000802,754,707,47
S01000803,871,769,102
S01000804,970,843,127
S01000805,822,769,53
S01000806,834,822,12
S01000807,744,575,169
S01000808,700,658,42
S01000809,531,452,79
S01000810,615,598,17
S01000811,823,746,77
S01000812,576,368,208
S01000813,757,677,80
S01000814,914,315,599
S01000815,544,152,392
S01000816,560,58,502
S01000817,862,333,529
S01000818,682,387,295
S01000819,783,754,29
S01000820,573,537,36
S01000821,828,420,408
S01000822,551,372,179
S01000823,561,295,266
S01000824,553,532,21
S01000825,681,625,56
S01000826,730,670,60
S01000827,678,659,19
S01000828,843,741,102
S01000829,569,547,22
S01000830,704,650,54
S01000831,880,831,49
S01000832,920,700,220
S01000833,569,530,39
S01000834,911,658,253
S01000835,698,618,80
S01000836,847,665,182
S01000837,758,315,443
S01000838,723,656,67
S01000839,963,556,407
S01000840,764,650,114
S01000841,970,837,133
S01000842,830,815,15
S01000843,765,458,307
S01000844,689,477,212
S01000845,560,436,124
S01000846,739,345,394
S01000847,958,578,380
S01000848,699,668,31
S01000849,539,515,24
S01000850,657,306,351
S01000851,686,592,94
S01000852,661,569,92
S01000853,553,526,27
S01000854,933,817,116
S01000855,728,560,168
S01000856,568,549,19
S01000857,614,535,79
S01000858,717,543,174
S01000859,836,765,71
S01000860,873,370,503
S01000861,656,647,9
S01000862,559,540,19
S01000863,485,412,73
S01000864,668,630,38
S01000865,692,460,232
S01000866,944,819,125
S01000867,739,511,228
S01000868,718,611,107
S01000869,566,550,16
S01000870,872,431,441
S01000871,730,635,95
S01000872,650,641,9
S01000873,806,756,50
S01000874,545,308,237
S01000875,736,539,197
S01000876,744,532,212
S01000877,741,278,463
S01000878,588,580,8
S01000879,846,731,115
S01000880,778,765,13
S01000881,703,551,152
S01000882,939,587,352
S01000883,923,539,384
S01000884,529,349,180
S01000885,524,520,4
S01000886,734,620,114
S01000887,781,674,107
S01000888,724,457,267
S01000889,796,551,245
S01000890,792,531,261
S01000891,853,803,50
S01000892,562,536,26
S01000893,730,723,7
S01000894,523,451,72
S01000895,900,761,139
S01000896,485,483,2
S01000897,685,632,53
S01000898,576,549,27
S01000899,867,801,66
S01000900,657,656,1
S01000901,675,651,24
S01000902,979,956,23
S01000903,958,883,75
S01000904,689,644,45
S01000905,680,651,29
S01000906,536,523,13
S01000907,772,488,284
S01000908,755,567,188
S01000909,918,858,60
S01000910,870,855,15
S01000911,962,885,77
S01000912,749,707,42
S01000913,708,638,70
S01000914,851,820,31
S01000915,921,824,97
S01000916,986,895,91
S01000917,683,674,9
S01000918,638,583,55
S01000919,522,485,37
S01000920,505,488,17
S01000921,709,696,13
S01000922,775,733,42
S01000923,751,747,4
S01000924,841,754,87
S01000925,943,796,147
S01000926,593,458,135
S01000927,988,920,68
S01000928,979,929,50
S01000929,511,217,294
S01000930,601,301,300
S01000931,708,667,41
S01000932,902,752,150
S01000933,857,734,123
S01000934,925,534,391
S01000935,808,669,139
S01000936,926,845,81
S01000937,568,380,188
S01000938,846,817,29
S01000939,740,598,142
S01000940,790,746,44
S01000941,542,340,202
S01000942,891,723,168
S01000943,845,839,6
S01000944,778,619,159
S01000945,755,597,158
S01000946,756,640,116
S01000947,720,670,50
S01000948,720,718,2
S01000949,613,613,0
S01000950,772,736,36
S01000951,700,583,117
S01000952,796,662,134
S01000953,906,901,5
S01000954,862,824,38
S01000955,527,524,3
S01000956,846,727,119
S01000957,506,482,24
S01000958,827,801,26
S01000959,688,663,25
S01000960,525,437,88
S01000961,851,820,31
S01000962,572,458,114
S01000963,744,688,56
S01000964,828,798,30
S01000965,665,555,110
S01000966,1051,1010,41
S01000967,576,459,117
S01000968,932,909,23
S01000969,849,688,161
S01000970,793,716,77
S01000971,685,660,25
S01000972,977,962,15
S01000973,592,584,8
S01000974,842,833,9
S01000975,646,643,3
S01000976,493,485,8
S01000977,758,739,19
S01000978,755,745,10
S01000979,647,632,15
S01000980,746,711,35
S01000981,648,643,5
S01000982,553,551,2
S01000983,553,541,12
S01000984,633,626,7
S01000985,710,667,43
S01000986,504,457,47
S01000987,627,607,20
S01000988,488,488,0
S01000989,833,826,7
S01000990,616,583,33
S01000991,502,482,20
S01000992,856,742,114
S01000993,858,837,21
S01000994,970,889,81
S01000995,831,830,1
S01000996,911,646,265
S01000997,992,984,8
S01000998,621,315,306
S01000999,696,675,21
S01001000,531,320,211
S01001001,546,530,16
S01001002,673,594,79
S01001003,929,927,2
S01001004,653,634,19
S01001005,895,873,22
S01001006,771,769,2
S01001007,788,419,369
S01001008,737,412,325
S01001009,614,529,85
S01001010,780,321,459
S01001011,599,593,6
S01001012,831,815,16
S01001013,771,580,191
S01001014,794,273,521
S01001015,558,300,258
S01001016,935,902,33
S01001017,710,610,100
S01001018,783,353,430
S01001019,979,241,738
S01001020,523,359,164
S01001021,843,624,219
S01001022,771,525,246
S01001023,984,975,9
S01001024,799,675,124
S01001025,915,813,102
S01001026,823,812,11
S01001027,851,849,2
S01001028,757,560,197
S01001029,747,396,351
S01001030,741,707,34
S01001031,949,930,19
S01001032,733,510,223
S01001033,716,479,237
S01001034,823,367,456
S01001035,543,345,198
S01001036,538,382,156
S01001037,879,685,194
S01001038,669,659,10
S01001039,549,536,13
S01001040,613,586,27
S01001041,526,524,2
S01001042,865,861,4
S01001043,699,698,1
S01001044,988,942,46
S01001045,567,566,1
S01001046,499,484,15
S01001047,662,655,7
S01001048,615,599,16
S01001049,689,665,24
S01001050,942,934,8
S01001051,694,661,33
S01001052,567,526,41
S01001053,794,737,57
S01001054,666,634,32
S01001055,756,633,123
S01001056,747,628,119
S01001057,638,627,11
S01001058,771,518,253
S01001059,634,616,18
S01001060,766,726,40
S01001061,776,719,57
S01001062,547,530,17
S01001063,787,763,24
S01001064,770,555,215
S01001065,753,605,148
S01001066,732,720,12
S01001067,777,774,3
S01001068,849,830,19
S01001069,871,846,25
S01001070,813,800,13
S01001071,632,630,2
S01001072,741,722,19
S01001073,989,940,49
S01001074,511,492,19
S01001075,817,806,11
S01001076,783,768,15
S01001077,769,696,73
S01001078,814,798,16
S01001079,501,490,11
S01001080,540,466,74
S01001081,557,497,60
S01001082,879,718,161
S01001083,798,690,108
S01001084,876,828,48
S01001085,873,757,116
S01001086,743,692,51
S01001087,517,509,8
S01001088,984,854,130
S01001089,929,796,133
S01001090,938,379,559
S01001091,638,138,500
S01001092,920,206,714
S01001093,846,257,589
S01001094,951,755,196
S01001095,705,120,585
S01001096,884,212,672
S01001097,637,486,151
S01001098,699,540,159
S01001099,860,68,792
S01001100,905,104,801
S01001101,980,36,944
S01001102,261,5,256
S01001103,854,547,307
S01001104,702,111,591
S01001105,850,805,45
S01001106,743,707,36
S01001107,987,142,845
S01001108,644,23,621
S01001109,816,54,762
S01001110,820,190,630
S01001111,963,175,788
S01001112,787,242,545
S01001113,982,286,696
S01001114,902,61,841
S01001115,811,61,750
S01001116,483,336,147
S01001117,514,158,356
S01001118,633,408,225
S01001119,935,247,688
S01001120,653,333,320
S01001121,783,288,495
S01001122,561,72,489
S01001123,906,555,351
S01001124,641,343,298
S01001125,402,158,244
S01001126,923,825,98
S01001127,805,278,527
S01001128,737,733,4
S01001129,956,350,606
S01001130,836,261,575
S01001131,512,207,305
S01001132,735,400,335
S01001133,906,262,644
S01001134,982,722,260
S01001135,403,40,363
S01001136,760,217,543
S01001137,769,176,593
S01001138,913,37,876
S01001139,729,435,294
S01001140,972,243,729
S01001141,452,106,346
S01001142,921,638,283
S01001143,739,596,143
S01001144,674,292,382
S01001145,598,201,397
S01001146,916,904,12
S01001147,664,10,654
S01001148,711,620,91
S01001149,673,353,320
S01001150,726,228,498
S01001151,559,117,442
S01001152,977,313,664
S01001153,740,592,148
S01001154,761,664,97
S01001155,627,480,147
S01001156,772,90,682
S01001157,862,835,27
S01001158,573,330,243
S01001159,721,483,238
S01001160,593,243,350
S01001161,582,392,190
S01001162,865,731,134
S01001163,675,164,511
S01001164,589,103,486
S01001165,781,255,526
S01001166,284,89,195
S01001167,902,856,46
S01001168,675,20,655
S01001169,960,254,706
S01001170,829,272,557
S01001171,634,349,285
S01001172,663,132,531
S01001173,892,357,535
S01001174,618,58,560
S01001175,890,403,487
S01001176,735,614,121
S01001177,707,212,495
S01001178,862,408,454
S01001179,982,976,6
S01001180,713,66,647
S01001181,894,889,5
S01001182,908,463,445
S01001183,874,90,784
S01001184,907,718,189
S01001185,583,572,11
S01001186,818,810,8
S01001187,914,535,379
S01001188,784,28,756
S01001189,984,612,372
S01001190,731,704,27
S01001191,669,304,365
S01001192,997,86,911
S01001193,865,792,73
S01001194,934,888,46
S01001195,971,756,215
S01001196,981,67,914
S01001197,545,352,193
S01001198,695,536,159
S01001199,976,696,280
S01001200,866,543,323
S01001201,660,250,410
S01001202,605,467,138
S01001203,795,378,417
S01001204,830,826,4
S01001205,767,484,283
S01001206,747,173,574
S01001207,852,829,23
S01001208,626,352,274
S01001209,600,586,14
S01001210,866,603,263
S01001211,957,637,320
S01001212,595,208,387
S01001213,900,577,323
S01001214,723,178,545
S01001215,805,720,85
S01001216,963,644,319
S01001217,922,787,135
S01001218,759,669,90
S01001219,556,550,6
S01001220,546,414,132
S01001221,536,480,56
S01001222,747,326,421
S01001223,782,719,63
S01001224,938,776,162
S01001225,974,958,16
S01001226,483,175,308
S01001227,752,706,46
S01001228,806,718,88
S01001229,762,647,115
S01001230,786,500,286
S01001231,736,569,167
S01001232,637,604,33
S01001233,991,416,575
S01001234,397,142,255
S01001235,851,846,5
S01001236,933,844,89
S01001237,575,391,184
S01001238,715,330,385
S01001239,557,175,382
S01001240,810,793,17
S01001241,793,426,367
S01001242,919,843,76
S01001243,252,176,76
S01001244,700,475,225
S01001245,813,808,5
S01001246,975,859,116
S01001247,659,588,71
S01001248,876,838,38
S01001249,700,598,102
S01001250,974,967,7
S01001251,721,349,372
S01001252,642,474,168
S01001253,674,286,388
S01001254,702,656,46
S01001255,947,931,16
S01001256,747,680,67
S01001257,805,755,50
S01001258,538,467,71
S01001259,785,728,57
S01001260,659,98,561
S01001261,933,382,551
S01001262,876,864,12
S01001263,511,503,8
S01001264,511,482,29
S01001265,594,591,3
S01001266,766,672,94
